benchmark,case_id,phase,strip_id,alpha_rad,relative_speed_m_s,delta_t_tilde,strip_area_m2,normalized_strip_weight,strip_persistence,previous_cycle_strip_persistence,global_persistence,previous_cycle_global_persistence,signed_fast_rad,signed_slow_rad,magnitude_fast_rad,magnitude_slow_rad,reference_fraction_chord,canonical_eligible
izraelevitz2017_fig14,theta_15_psi_30,0.265625,10,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.0007734210789970413,0.024975105626157377,0.022978919728979072,0.022978919728979072,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497078,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,11,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.00026379952693613643,0.008518543427732927,0.02297891972897903,0.02297891972897903,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.0074343371564970645,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,12,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.00026379952693613643,0.008518543427732927,0.02297891972897903,0.02297891972897903,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.0074343371564970645,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,13,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.0007734210789970413,0.024975105626157377,0.022978919728979072,0.022978919728979072,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497078,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,14,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.001230335262663066,0.0397296556494728,0.02297891972897903,0.02297891972897903,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.0074343371564970645,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,15,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.0016034041314037521,0.05177669529663676,0.02297891972897897,0.02297891972897897,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497045,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,16,0.40613715563688274,3.5944145333788446,0.11055654937804024,0.001867203658339894,0.06029523872436986,0.022978919728979013,0.022978919728979013,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497059,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,17,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.002003756341660111,0.0647047612756303,0.022978919728979013,0.022978919728979013,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497059,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,18,0.40613715563688274,3.5944145333788446,0.11055654937804024,0.0020037563416601106,0.06470476127563028,0.02297891972897897,0.02297891972897897,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497045,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,19,0.40613715563688274,3.5944145333788446,0.11055654937804024,0.0018672036583398939,0.06029523872436986,0.022978919728979013,0.022978919728979013,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497059,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,20,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.0016034041314037524,0.05177669529663677,0.02297891972897897,0.02297891972897897,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497045,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,21,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.0012303352626630653,0.03972965564947278,0.02297891972897897,0.02297891972897897,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497045,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,22,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.0007734210789970417,0.02497510562615739,0.022978919728978964,0.022978919728978964,0.022978919728978996,0.022978919728978996,0.24055655916214755,-0.007434337156497044,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,23,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.0002637995269361363,0.008518543427732924,0.02297891972897903,0.02297891972897903,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.0074343371564970645,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.2734375,0,0.39316103174209505,3.5883315501060706,0.11036944974489635,0.0002637995269361363,0.008518543427732924,0.01908886367391985,0.01908886367391985,0.01908886367391982,0.01908886367391982,0.2455266841037023,-0.006181089346239056,0.37953322531729294,0.3238060395749992,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.2734375,1,0.39316103174209505,3.5883315501060706,0.11036944974489635,0.0007734210789970417,0.02497510562615739,0.01908886367391979,0.01908886367391979,0.01908886367391982,0.01908886367391982,0.24552668410370232,-0.0061810893462390356,0.37953322531729294,0.3238060395749992,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.2734375,2,0.3931610317420951,3.5883315501060706,0.11036944974489635,0.0012303352626630653,0.03972965564947278,0.019088863673919793,0.019088863673919793,0.01908886367391982,0.01908886367391982,0.24552668410370232,-0.006181089346239037,0.37953322531729294,0.3238060395749992,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.2734375,3,0.3931610317420951,3.5883315501060706,0.11036944974489635,0.0016034041314037524,0.05177669529663677,0.019088863673919793,0.019088863673919793,0.01908886367391982,0.01908886367391982,0.24552668410370232,-0.006181089346239037,0.37953322531729294,0.3238060395749992,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.2734375,4,0.3931610317420951,3.5883315501060706,0.11036944974489635,0.0018672036583398939,0.06029523872436986,0.019088863673919838,0.019088863673919838,0.01908886367391982,0.01908886367391982,0.24552668410370232,-0.006181089346239051,0.37953322531729294,0.3238060395749992,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.2734375,5,0.3931610317420951,3.5883315501060706,0.11036944974489635,0.0020037563416601106,0.06470476127563028,0.019088863673919793,0.019088863673919793,0.01908886367391982,0.01908886367391982,0.24552668410370232,-0.006181089346239037,0.37953322531729294,0.3238060395749992,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.2734375,6,0.3931610317420951,3.5883315501060706,0.11036944974489635,0.002003756341660111,0.0647047612756303,0.019088863673919838,0.019088863673919838,0.01908886367391982,0.01908886367391982,0.24552668410370232,-0.006181089346239051,0.37953322531729294,0.3238060395749992,0.75,false
