model,model_label,data_role,phase,CL_alpha,CD_alpha,CL,CD,CT
6_state,6-State ULLT,author_model,0.35937500,5.70070379,-3.20808306,1.475450711340121,-0.8303129941987727,0.8303129941987727
6_state,6-State ULLT,author_model,0.36718750,5.60672299,-3.05792981,1.45112669042615,-0.7914504734147327,0.7914504734147327
6_state,6-State ULLT,author_model,0.37500000,5.4617,-2.85606377,1.4135919786364377,-0.7392036977033054,0.7392036977033054
6_state,6-State ULLT,author_model,0.38281250,5.3071138,-2.67273416,1.3735821259664103,-0.6917545031040879,0.6917545031040879
6_state,6-State ULLT,author_model,0.39062500,5.13763799,-2.49420452,1.329718558654234,-0.645547632156791,0.645547632156791
6_state,6-State ULLT,author_model,0.39843750,4.95610222,-2.30741618,1.2827336440108832,-0.5972032523617061,0.5972032523617061
6_state,6-State ULLT,author_model,0.40625000,4.69001664,-2.05736284,1.2138656282797327,-0.5324846856782102,0.5324846856782102
6_state,6-State ULLT,author_model,0.41406250,4.45197487,-1.8695362,1.152255884673819,-0.4838715740685952,0.4838715740685952
6_state,6-State ULLT,author_model,0.42187500,4.20477453,-1.66698035,1.0882757287260003,-0.43144626239166584,0.43144626239166584
6_state,6-State ULLT,author_model,0.42968750,3.89182564,-1.45420569,1.0072785958503065,-0.3763761280684523,0.3763761280684523
6_state,6-State ULLT,author_model,0.43750000,3.61141273,-1.26092045,0.9347023942496876,-0.32635022681924075,0.32635022681924075
6_state,6-State ULLT,author_model,0.44531250,3.32877256,-1.0980748,0.8615497353426734,-0.28420267118714143,0.28420267118714143
6_state,6-State ULLT,author_model,0.45312500,3.03663938,-0.94807972,0.7859401046523106,-0.24538108781146523,0.24538108781146523
6_state,6-State ULLT,author_model,0.46093750,2.67978644,-0.76553101,0.6935797674794835,-0.19813400500456826,0.19813400500456826
6_state,6-State ULLT,author_model,0.46875000,2.39864886,-0.6447582,0.62081600748145,-0.16687570164602009,0.16687570164602009
6_state,6-State ULLT,author_model,0.47656250,2.1181844,-0.53304065,0.5482264637590558,-0.13796107203382696,0.13796107203382696
6_state,6-State ULLT,author_model,0.48437500,1.79883586,-0.42659114,0.4655729795813717,-0.11040991150399573,0.11040991150399573
6_state,6-State ULLT,author_model,0.49218750,1.49706096,-0.34988486,0.387467888127463,-0.09055686536102917,0.09055686536102917
6_state,6-State ULLT,author_model,0.50000000,1.23396777,-0.28335194,0.31937435991868696,-0.07333687853874676,0.07333687853874676
6_state,6-State ULLT,author_model,0.50781250,0.98027122,-0.24592503,0.253712861101883,-0.06365008143140877,0.06365008143140877
6_state,6-State ULLT,author_model,0.51562500,0.69268609,-0.21690275,0.17928035236959874,-0.05613856263511078,0.05613856263511078
6_state,6-State ULLT,author_model,0.52343750,0.46659588,-0.20660283,0.12076390011037036,-0.053472747176078424,0.053472747176078424
6_state,6-State ULLT,author_model,0.53125000,0.25469177,-0.20660283,0.06591908070687083,-0.053472747176078424,0.053472747176078424
6_state,6-State ULLT,author_model,0.53906250,0.03188455,-0.22494417,0.008252328784523578,-0.05821983528077909,0.05821983528077909
6_state,6-State ULLT,author_model,0.54687500,-0.19883536,-0.25937348,-0.051462378007815945,-0.06713079641851775,0.06713079641851775
6_state,6-State ULLT,author_model,0.55468750,-0.37184242,-0.29658744,-0.09623990007301046,-0.07676247801020115,0.07676247801020115
6_state,6-State ULLT,author_model,0.56250000,-0.55348389,-0.34108082,-0.14325217188942863,-0.08827821213518476,0.08827821213518476
6_state,6-State ULLT,author_model,0.57031250,-0.75064511,-0.41344143,-0.19428125058107665,-0.10700651611842067,0.10700651611842067
