benchmark,case_id,phase,strip_id,alpha_rad,alpha_sep_rad,strip_area_m2,normalized_strip_weight,region_A,region_L,region_P,wA,wL,wP,canonical_eligible
yang2025,aoa_0,0.0625,5,-0.3022126543175311,0.08726646259971647,0.0027083333333333313,0.08333333333333336,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0625,6,-0.3323400442672187,0.08726646259971647,0.0027083333333333282,0.08333333333333326,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0625,7,-0.3618538346835733,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0625,8,-0.39072278447529507,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0625,9,-0.41892129239169107,0.08726646259971647,0.0027083333333333287,0.08333333333333327,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0625,10,-0.44642918888938393,0.08726646259971647,0.0027083333333333317,0.08333333333333337,0,0,1,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0625,11,-0.47323145381582243,0.08726646259971647,0.0027083333333333326,0.0833333333333334,0,0,1,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0703125,0,-0.14168323735844363,0.08726646259971647,0.00270833333333333,0.08333333333333331,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0703125,1,-0.17373570609773897,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0703125,2,-0.2054316921935988,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0703125,3,-0.236714597013506,0.08726646259971647,0.0027083333333333295,0.0833333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0703125,4,-0.2675325100843329,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0703125,5,-0.29783857392293933,0.08726646259971647,0.0027083333333333313,0.08333333333333336,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0703125,6,-0.32759122396251245,0.08726646259971647,0.0027083333333333282,0.08333333333333326,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0703125,7,-0.3567543079286,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0703125,8,-0.3852970932879372,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0703125,9,-0.4131941746673205,0.08726646259971647,0.0027083333333333287,0.08333333333333327,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0703125,10,-0.4404252953576722,0.08726646259971647,0.0027083333333333317,0.08333333333333337,0,0,1,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0703125,11,-0.46697509821200744,0.08726646259971647,0.0027083333333333326,0.0833333333333334,0,0,1,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.078125,0,-0.13918742977891244,0.08726646259971647,0.00270833333333333,0.08333333333333331,0,1,0,0.0,0.9166666666666666,0.08333333333333341,false
yang2025,aoa_0,0.078125,1,-0.17069544120239222,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.9166666666666666,0.08333333333333341,false
yang2025,aoa_0,0.078125,2,-0.20186499196711763,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.9166666666666666,0.08333333333333341,false
yang2025,aoa_0,0.078125,3,-0.23264201967163106,0.08726646259971647,0.0027083333333333295,0.0833333333333333,0,1,0,0.0,0.9166666666666666,0.08333333333333341,false
yang2025,aoa_0,0.078125,4,-0.26297677917910206,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.9166666666666666,0.08333333333333341,false
yang2025,aoa_0,0.078125,5,-0.2928241900308596,0.08726646259971647,0.0027083333333333313,0.08333333333333336,0,1,0,0.0,0.9166666666666666,0.08333333333333341,false
