t_star,experiment_CL_fast_pitch,experiment_CL_slow_pitch,source_figure,data_role
2.39000000,1.878009019,1.345505561,4.13b,digitized_experimental_curve
2.40000000,1.885834486,1.353331028,4.13b,digitized_experimental_curve
2.41000000,1.894396899,1.360119151,4.13b,digitized_experimental_curve
2.42000000,1.902959313,1.364400357,4.13b,digitized_experimental_curve
2.43000000,1.911521727,1.368681564,4.13b,digitized_experimental_curve
2.44000000,1.917568580,1.372962771,4.13b,digitized_experimental_curve
2.45000000,1.924832152,1.377989569,4.13b,digitized_experimental_curve
2.46000000,1.946238186,1.386551982,4.13b,digitized_experimental_curve
2.47000000,1.957873732,1.391857567,4.13b,digitized_experimental_curve
2.48000000,1.964949285,1.396138774,4.13b,digitized_experimental_curve
2.49000000,1.969230492,1.400419980,4.13b,digitized_experimental_curve
2.50000000,1.981507895,1.404701187,4.13b,digitized_experimental_curve
2.51000000,1.989895257,1.411210523,4.13b,digitized_experimental_curve
2.52000000,1.994634624,1.418856616,4.13b,digitized_experimental_curve
2.53000000,2.003197038,1.418856616,4.13b,digitized_experimental_curve
2.54000000,2.005820655,1.421826014,4.13b,digitized_experimental_curve
2.55000000,2.008219514,1.426107221,4.13b,digitized_experimental_curve
2.56000000,2.016781927,1.430388428,4.13b,digitized_experimental_curve
2.57000000,2.014212339,1.434669635,4.13b,digitized_experimental_curve
2.58000000,2.009931132,1.437010143,4.13b,digitized_experimental_curve
2.59000000,2.005649925,1.437180873,4.13b,digitized_experimental_curve
2.60000000,2.001368718,1.441462079,4.13b,digitized_experimental_curve
2.61000000,1.997087512,1.448425254,4.13b,digitized_experimental_curve
2.62000000,1.990982308,1.456075669,4.13b,digitized_experimental_curve
2.63000000,1.978138687,1.460356875,4.13b,digitized_experimental_curve
2.64000000,1.968718303,1.464638082,4.13b,digitized_experimental_curve
2.65000000,1.958502622,1.468919289,4.13b,digitized_experimental_curve
2.66000000,1.945659002,1.473200496,4.13b,digitized_experimental_curve
2.67000000,1.932815382,1.477481702,4.13b,digitized_experimental_curve
2.68000000,1.924760834,1.484157446,4.13b,digitized_experimental_curve
2.69000000,1.918605924,1.491470724,4.13b,digitized_experimental_curve
2.70000000,1.901481097,1.491470724,4.13b,digitized_experimental_curve
2.71000000,1.893763687,1.500878141,4.13b,digitized_experimental_curve
2.72000000,1.888116644,1.510990088,4.13b,digitized_experimental_curve
2.73000000,1.879554230,1.515271294,4.13b,digitized_experimental_curve
2.74000000,1.878745966,1.523429576,4.13b,digitized_experimental_curve
2.75000000,1.876638860,1.527777778,4.13b,digitized_experimental_curve
2.76000000,1.872694790,1.528114915,4.13b,digitized_experimental_curve
2.77000000,1.872694790,1.532396121,4.13b,digitized_experimental_curve
2.78000000,1.872694790,1.539525703,4.13b,digitized_experimental_curve
2.79000000,1.871616384,1.548088117,4.13b,digitized_experimental_curve
2.80000000,1.867335178,1.556650530,4.13b,digitized_experimental_curve
2.81000000,1.870233258,1.558033656,4.13b,digitized_experimental_curve
2.82000000,1.878153815,1.561673006,4.13b,digitized_experimental_curve
2.83000000,1.890898023,1.570185713,4.13b,digitized_experimental_curve
2.84000000,1.895179230,1.574466920,4.13b,digitized_experimental_curve
2.85000000,1.904582325,1.576187183,4.13b,digitized_experimental_curve
2.86000000,1.915843995,1.577769133,4.13b,digitized_experimental_curve
2.87000000,1.920125202,1.586331547,4.13b,digitized_experimental_curve
2.88000000,1.924406408,1.588289534,4.13b,digitized_experimental_curve
2.89000000,1.928687615,1.589821778,4.13b,digitized_experimental_curve
2.90000000,1.932968822,1.594102985,4.13b,digitized_experimental_curve
2.91000000,1.937250029,1.598384192,4.13b,digitized_experimental_curve
2.92000000,1.941531236,1.604938912,4.13b,digitized_experimental_curve
2.93000000,1.945308898,1.612997781,4.13b,digitized_experimental_curve
2.94000000,1.945308898,1.617278988,4.13b,digitized_experimental_curve
2.95000000,1.945308898,1.621560195,4.13b,digitized_experimental_curve
2.96000000,1.947798525,1.625841402,4.13b,digitized_experimental_curve
2.97000000,1.956360938,1.630122608,4.13b,digitized_experimental_curve
2.98000000,1.949899147,1.630647764,4.13b,digitized_experimental_curve
2.99000000,1.943322816,1.632633846,4.13b,digitized_experimental_curve
3.00000000,1.939041609,1.636698940,4.13b,digitized_experimental_curve
3.01000000,1.934760402,1.636698940,4.13b,digitized_experimental_curve
3.02000000,1.930479195,1.633971588,4.13b,digitized_experimental_curve
3.03000000,1.926197989,1.632881656,4.13b,digitized_experimental_curve
3.04000000,1.921916782,1.642871139,4.13b,digitized_experimental_curve
3.05000000,1.917635575,1.652860621,4.13b,digitized_experimental_curve
3.06000000,1.913354368,1.662850104,4.13b,digitized_experimental_curve
3.07000000,1.909073162,1.672839586,4.13b,digitized_experimental_curve
3.08000000,1.900582065,1.673005994,4.13b,digitized_experimental_curve
3.09000000,1.899339413,1.680325755,4.13b,digitized_experimental_curve
3.10000000,1.900940814,1.691159521,4.13b,digitized_experimental_curve
3.11000000,1.888097193,1.691159521,4.13b,digitized_experimental_curve
3.12000000,1.887978331,1.697521899,4.13b,digitized_experimental_curve
3.13000000,1.889437097,1.701850651,4.13b,digitized_experimental_curve
3.14000000,1.885155890,1.697569444,4.13b,digitized_experimental_curve
3.15000000,1.880874683,1.705055613,4.13b,digitized_experimental_curve
3.16000000,1.878745966,1.713618027,4.13b,digitized_experimental_curve
