case_id,t_star,experiment_CL,data_role
fast_pitch,2.38,1.873727812,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.39,1.878009019,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.4,1.885834486,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.41,1.894396899,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.42,1.902959313,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.43,1.911521727,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.44,1.91756858,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.45,1.924832152,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.46,1.946238186,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.47,1.957873732,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.48,1.964949285,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.49,1.969230492,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.5,1.981507895,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.51,1.989895257,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.52,1.994634624,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.53,2.003197038,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.54,2.005820655,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.55,2.008219514,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.56,2.016781927,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.57,2.014212339,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.58,2.009931132,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.59,2.005649925,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.6,2.001368718,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.61,1.997087512,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.62,1.990982308,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.63,1.978138687,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.64,1.968718303,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.65,1.958502622,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.66,1.945659002,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.67,1.932815382,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.68,1.924760834,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.69,1.918605924,digitized_experimental_whole_wing_lift_curve
