benchmark,case_id,model,phase,baseline_CL,baseline_CD,equilibrium_CL,equilibrium_CD,raw_ldvm_CL,raw_ldvm_CD,state_CL,state_CD,transient_CL,transient_CD,prediction_CL,prediction_CD,ledger_residual_CL,ledger_residual_CD,incidence_source,aggregation_scope,equilibrium_provider
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.2421875,0.007678805599846333,-0.002738695099944098,0.0025342067845314613,-0.01701603836953155,0.09722908931219461,0.007502663361842455,0.010446755759782232,0.04242350222175319,0.09904899323773661,-0.03985689011234521,0.10926200562211441,-0.05961162358182086,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.25,0.04258207523587347,-1.8924825416125434e-05,-0.003199651435099697,-0.017462192285839315,0.0484884682723971,0.0048191430082604216,0.015158007494761004,0.03776641422844625,0.038041712512614866,-0.03760435921349277,0.07742413631338864,-0.05508547632474821,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.2578125,0.07671048669942215,0.0012519868147011378,-0.00882449404110057,-0.017670673939907632,0.23500744855242478,0.0020389482870133303,0.04238512194902132,0.03334176889085388,0.21984944105766377,-0.035727465941432925,0.28773543371598537,-0.05214615306663942,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.265625,0.11032454305226616,0.0015386507418404286,-0.014376191792635315,-0.017717698585685684,0.05337787598747848,0.0002224736299267754,0.04374651259405872,0.029240130795366578,0.010992754038457161,-0.0331192952609271,0.10694110529808801,-0.04929834310477235,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.2734375,0.14345546577879353,0.0008937072105197236,-0.019858602441732986,-0.01761190138472685,0.1601348751434295,-0.001194051493405637,0.058160555463717394,0.025471028811246077,0.11638836254937078,-0.030434182288772215,0.23998522588643134,-0.047152376462979345,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.28125,0.17613548961731104,-0.0006264602690395275,-0.025275726296782458,-0.01736253154610444,0.11201072461834531,-0.002410303443885651,0.06482959547537596,0.022018082918840456,0.05385016915462792,-0.027881332255131726,0.2047099324751565,-0.04587032407027569,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.2890625,0.20833996138044042,-0.003074274591924293,-0.03062299250783368,-0.016960989564129954,0.09326844838721134,-0.003224418602150531,0.06835158715956371,0.018891941343417498,0.02843885291183537,-0.025242501520990987,0.2061558217844421,-0.04527776567704524,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.296875,0.24011398911255744,-0.006359409384690551,-0.03590558963175719,-0.01642209267010977,0.09982557532121468,-0.0037921042706328973,0.07224946324188015,0.01608265011552933,0.031473988161650965,-0.022684045614050394,0.2356823876424512,-0.04546554766885071,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.3046875,0.27157779585420916,-0.010238869888109365,-0.0411405319197215,-0.015785701974552962,0.1089584355265332,-0.004162155865862091,0.07679566260942991,0.013575444971373137,0.036708972284653044,-0.02024480598139142,0.2671462362191407,-0.046269377844053744,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.3125,0.3027586618167918,-0.014649213168325188,-0.046331210762467545,-0.01506222472165469,0.0992561100760285,-0.003697181586587799,0.07957726246670034,0.011436327500995084,0.022460447466598588,-0.017272626557960937,0.27888789852092283,-0.046984064447940815,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
