model,theta_max_deg,phase_offset_deg,phase,CT,persistence,ldvm_delta_CT,owned_old_CT,owned_polar_CT,target_old_CT,target_polar_CT,profile_reference_delta_CT,polar_reference_delta_CT
v4b_legacy_025c,15.0,15.0,0.34375,0.294585200000436,0.0028593558207775467,-0.09027799125664424,0.38534942188307686,0.12502242082379517,0.38581756789568494,0.3512158505991037,0.00046814601260808386,0.22572528376270046
v5c0_corrected_v4b_075c,15.0,15.0,0.34375,0.29569877491706764,0.0028593558207775467,-0.09027799125664424,0.38534942188307686,0.12502242082379517,0.38581756789568494,0.3512158505991037,0.00046814601260808386,0.22572528376270046
v4b_legacy_025c,15.0,15.0,0.3515625,0.2500317269845452,0.001963633648721182,-0.0702251820525569,0.32050137635052217,0.12577877922296957,0.32079869193983734,0.31665267808674286,0.00029731558931517243,0.19057658327445812
v5c0_corrected_v4b_075c,15.0,15.0,0.3515625,0.2507032651654364,0.001963633648721182,-0.0702251820525569,0.32050137635052217,0.12577877922296957,0.32079869193983734,0.31665267808674286,0.00029731558931517243,0.19057658327445812
v4b_legacy_025c,15.0,15.0,0.359375,0.20287870921784498,0.0010620479876715617,-0.052372940733095966,0.2552891920854567,0.16756743947987096,0.25543193729005154,0.2583650845481877,0.00014274520459484075,0.09065489986372188
v5c0_corrected_v4b_075c,15.0,15.0,0.359375,0.20311773427641266,0.0010620479876715617,-0.052372940733095966,0.2552891920854567,0.16756743947987096,0.25543193729005154,0.2583650845481877,0.00014274520459484075,0.09065489986372188
v4b_legacy_025c,15.0,15.0,0.3671875,0.15298336784136887,0.00015659861140993574,-0.03738599067226116,0.1903643704495076,0.18483092353560748,0.1903699733057286,0.2003064143588687,5.602856221004204e-06,0.015469887967040213
v5c0_corrected_v4b_075c,15.0,15.0,0.3671875,0.1529913932605642,0.00015659861140993574,-0.03738599067226116,0.1903643704495076,0.18483092353560748,0.1903699733057286,0.2003064143588687,5.602856221004204e-06,0.015469887967040213
v4b_legacy_025c,15.0,15.0,0.375,0.10280380107986009,0.0007507001982940671,-0.023589497430388136,0.12636297681249303,0.1431647005701335,0.12624997037968166,0.1430516941373221,-0.0001130064328113689,-2.7755575615628914e-17
v5c0_corrected_v4b_075c,15.0,15.0,0.375,0.10269079464704874,0.0007507001982940671,-0.023589497430388136,0.12636297681249303,0.1431647005701335,0.12624997037968166,0.1430516941373221,-0.0001130064328113689,-2.7755575615628914e-17
v4b_legacy_025c,15.0,15.0,0.3828125,0.052578820299604485,0.0016578213939514753,-0.01137810751362213,0.06389916557168127,0.08736331655230183,0.06368712917467528,0.08715128015529583,-0.00021203639700598242,-1.3877787807814457e-17
v5c0_corrected_v4b_075c,15.0,15.0,0.3828125,0.052366783902598496,0.0016578213939514753,-0.01137810751362213,0.06389916557168127,0.08736331655230183,0.06368712917467528,0.08715128015529583,-0.00021203639700598242,-1.3877787807814457e-17
v4b_legacy_025c,15.0,15.0,0.390625,0.0015977786609032581,0.0025627270745572257,-0.002043383722414395,0.003559396652956498,0.033421763321571166,0.003268897612545586,0.033131264281160255,-0.0002904990404109121,1.734723475976807e-18
v5c0_corrected_v4b_075c,15.0,15.0,0.390625,0.001307279620492346,0.0025627270745572257,-0.002043383722414395,0.003559396652956498,0.033421763321571166,0.003268897612545586,0.033131264281160255,-0.0002904990404109121,1.734723475976807e-18
v4b_legacy_025c,15.0,15.0,0.3984375,-0.06317961839931123,0.0034633706358513545,-0.009233470452187004,-0.0541025968996835,-0.018163612824546493,-0.05445006580613155,-0.01851108173099454,-0.0003474689064480521,3.469446951953614e-18
