Time,Z_tip
22.083,0.00253516680947556
22.0845,0.00244056472544217
22.086,0.00232829849331936
22.0875,0.00219380286768888
22.089,0.00203245877068836
22.0905,0.00183983667624372
22.092,0.00161194584053475
22.0935,0.00134546973009206
22.095,0.00103798221133709
22.0965,0.000688153268371108
22.098,0.000295956877826433
22.0995,-0.000137119046450092
22.101,-0.00060788685563662
22.1025,-0.00111134990011188
22.104,-0.00164073199797418
22.1055,-0.00218769129322016
22.107,-0.00274272368210895
22.1085,-0.0032957109084281
22.11,-0.00383652896685543
22.1115,-0.00435562091455956
22.113,-0.00484446062228462
22.1145,-0.00529588095836438
22.116,-0.00570428925522816
22.1175,-0.00606582037424254
22.119,-0.00637847024028418
22.1205,-0.00664221694202574
22.122,-0.0068590949544844
22.1235,-0.00703316537352902
22.125,-0.00717033286688856
22.1265,-0.00727799175252413
22.128,-0.00736452167116899
22.1295,-0.00743868185522175
22.131,-0.00750896495732049
22.1325,-0.00758296777629357
22.134,-0.00766682326738572
22.1355,-0.00776472798069065
22.137,-0.00787860712686076
22.1385,-0.00800799166184825
22.14,-0.00815021572279463
22.1415,-0.00830102869635802
22.143,-0.00845548966511401
22.1445,-0.00860931712266581
22.146,-0.00876016220321637
22.1475,-0.00890820212525806
22.149,-0.00905619104139368
22.1505,-0.00920893797622941
22.152,-0.00937246230373706
22.1535,-0.00955301716746167
22.155,-0.00975584180015435
22.1565,-0.00998310410101817
22.158,-0.010230391447593
22.1595,-0.0104817069907043
22.161,-0.0107043296860928
22.1625,-0.0108464455331024
22.164,-0.0108407967795834
22.1655,-0.0106157152222429
22.167,-0.010111454193315
22.1685,-0.00929686823552995
22.17,-0.00818102491551311
22.1715,-0.00681625434467368
22.173,-0.00529201937853238
22.1745,-0.00372140763183173
22.176,-0.00222342714226213
22.1775,-0.000904735938295476
22.179,0.000155766215576868
22.1805,0.00091674266258778
22.182,0.0013769849531566
22.1835,0.00157053066850608
22.185,0.00155570117797196
22.1865,0.00140086876261559
22.188,0.00117065566545187
22.1895,0.000916133055151555
22.191,0.000671211773660249
22.1925,0.000455174079492651
22.194,0.000279064075297968
22.1955,0.000152382513751164
22.197,8.68155197157716e-05
22.1985,9.54783249355284e-05
22.2,0.000188480669304847
22.2015,0.000367277096043512
22.203,0.000620504441631084
22.2045,0.000922993183927023
22.206,0.0012381310193483
22.2075,0.00152255469742736
22.209,0.00173169735824585
22.2105,0.00182509707519696
22.212,0.00177043067214083
22.2135,0.0015463463038091
22.215,0.00114419897528697
22.2165,0.00056810501076357
22.218,-0.000166589197322372
22.2195,-0.00103613484621611
22.221,-0.00201169953024288
22.2225,-0.00306199456904108
22.224,-0.00415416177048356
22.2255,-0.00525261528955418
22.227,-0.00631662658965264
22.2285,-0.00729836771468959
22.23,-0.00814337905250188
22.2315,-0.00879476574726295
22.233,-0.00920104839966647
22.2345,-0.00932607945116933
22.236,-0.00915846874251009
22.2375,-0.00871793321469871
22.239,-0.0080567936204087
22.2405,-0.00725603651223607
22.242,-0.00641649083544842
22.2435,-0.00564650196808363
22.245,-0.00504799070919454
22.2465,-0.00470299852833622
22.248,-0.00466275747125999
22.2495,-0.00494096813642839
22.251,-0.00551232476018646
22.2525,-0.0063164633143408
22.254,-0.00726658577891142
22.2555,-0.00826125008328785
22.257,-0.0091974055738525
22.2585,-0.00998277185954727
22.26,-0.0105460226384245
22.2615,-0.0108437725166184
22.263,-0.010863913781801
22.2645,-0.010625320018494
22.266,-0.010174286998175
22.2675,-0.0095783047858473
22.269,-0.00891786247470982
22.2705,-0.00827704005344707
22.272,-0.00773372629494561
22.2735,-0.00735044824394212
22.275,-0.00716692418044373
22.2765,-0.00719540438567974
22.278,-0.00741924387714425
22.2795,-0.00779581816453439
22.281,-0.00826300561191444
22.2825,-0.00874796536540202
22.284,-0.00917814892006526
22.2855,-0.0094931545077072
22.287,-0.00965576823867601
22.2885,-0.00965997098170748
22.29,-0.00953359177200916
22.2915,-0.00933410249725374
22.293,-0.00913770642576107
22.2945,-0.00902374836891106
22.296,-0.0090577728454775
22.2975,-0.00927683243783778
22.299,-0.00967998200189021
22.3005,-0.0102256895568179
22.302,-0.0108365862255434
22.3035,-0.0114108448774662
22.305,-0.0118385514596896
22.3065,-0.0120205401532104
22.308,-0.0118862401780222
22.3095,-0.0114065442046166
22.311,-0.0105982826061285
22.3125,-0.00951890452961943
22.314,-0.00825290587007651
22.3155,-0.00689424243803857
22.317,-0.0055301655432977
22.3185,-0.00423095033961184
22.32,-0.00304736992212873
22.3215,-0.00201487713873014
22.323,-0.00116127255293808
22.3245,-0.000513306684054708
22.326,-9.76471924507511e-05
22.3275,6.59714069100945e-05
22.329,-2.28835056024405e-05
22.3305,-0.000333558871290065
22.332,-0.000799695033101625
22.3335,-0.00132557192682692
22.335,-0.00180307754713182
22.3365,-0.00213501501689667
22.338,-0.00225782129983716
22.3395,-0.00215647103859416
22.341,-0.00186682226839236
22.3425,-0.00146500889165421
22.344,-0.00104779155968848
22.3455,-0.00070996456620122
22.347,-0.000526234027059687
22.3485,-0.000540890794005268
22.35,-0.000765546988998848
22.3515,-0.00118418926289556
22.353,-0.00176187263240829
22.3545,-0.00245390054466127
22.356,-0.00321339464304772
22.3575,-0.00399646534662327
22.359,-0.00476522829488099
22.3605,-0.00548940844006033
22.362,-0.00614728250331289
22.3635,-0.00672644452017756
22.365,-0.00722452032117933
22.3665,-0.00764959696575574
22.368,-0.00801984895682987
22.3695,-0.00836175944679111
22.371,-0.00870656310106541
22.3725,-0.00908504671511752
22.374,-0.00952143408884978
22.3755,-0.0100275204136198
22.377,-0.0105983874180572
22.3785,-0.0112109062908553
22.38,-0.0118258090886681
22.3815,-0.0123933744742432
22.383,-0.0128618525438304
22.3845,-0.0131869502395385
22.386,-0.0133403413927433
22.3875,-0.013315374316225
22.389,-0.0131287824349974
22.3905,-0.0128180126149018
22.392,-0.0124345954909249
22.3935,-0.0120347120152286
22.395,-0.0116686874376816
22.3965,-0.0113714450463087
22.398,-0.0111558525326306
22.3995,-0.0110103621135227
22.401,-0.0109014859878734
22.4025,-0.010780660178537
22.404,-0.0105941480157178
22.4055,-0.0102940023048184
22.407,-0.00984787897779658
22.4085,-0.00924574416561241
22.41,-0.00850219925883411
22.4115,-0.00765409497200263
22.413,-0.00675370524303949
22.4145,-0.00585997613476541
22.416,-0.00502917839240821
22.4175,-0.0043062283191361
22.419,-0.00371935284889059
22.4205,-0.00327872029460187
22.422,-0.00297896279487669
22.4235,-0.00280460530966784
22.425,-0.00273680322973087
22.4265,-0.00275959836057695
22.428,-0.00286413058791265
22.4295,-0.00304981052526048
22.431,-0.00332226166329453
22.4325,-0.00368872670785546
22.434,-0.00415236980450655
22.4355,-0.00470722943415174
22.437,-0.00533532439940148
22.4385,-0.00600665750640728
22.44,-0.0066818969266458
22.4415,-0.0073167304590243
22.443,-0.00786658044187302
22.4445,-0.00829061874003156
22.446,-0.00855465794782922
22.4475,-0.00863316122385304
22.449,-0.00851095798226079
22.4505,-0.00818512422241849
22.452,-0.00766699716276934
22.4535,-0.0069837208290107
22.455,-0.00617834268701829
22.4565,-0.00530748968361824
22.458,-0.0044361246505742
22.4595,-0.00362976649152708
22.461,-0.00294559955733607
22.4625,-0.00242465954717268
22.464,-0.00208731253554412
22.4655,-0.0019333505240864
22.467,-0.00194646688914087
22.4685,-0.0021012911522578
22.47,-0.00237028727716534
22.4715,-0.00272808918125628
22.473,-0.00315215219452546
22.4745,-0.00362033459159189
22.476,-0.00410740387284888
22.4775,-0.0045829027417254
22.479,-0.00501216091480989
22.4805,-0.00536067759489337
22.482,-0.0056011322309542
22.4835,-0.00572021259334988
22.485,-0.005722471810379
22.4865,-0.0056301078318699
22.488,-0.00547818671182989
22.4895,-0.00530657199862376
22.491,-0.00515087860719959
22.4925,-0.00503502673386762
22.494,-0.00496737053697995
22.4955,-0.00494122225674401
22.497,-0.00493933371626279
22.4985,-0.00494092250114069
22.5,-0.0049293670086418
22.5015,-0.00489875898231343
22.503,-0.00485793826517014
22.5045,-0.00483121402229035
22.506,-0.00485552106880981
22.5075,-0.0049742288705761
22.509,-0.00522830979107185
22.5105,-0.00564619201654127
22.512,-0.0062343156605015
22.5135,-0.00697087150523708
22.515,-0.00780500701679882
22.5165,-0.00866269435894012
22.518,-0.00945866440819201
22.5195,-0.0101119358104112
22.521,-0.0105612600936271
22.5225,-0.0107767636040328
22.524,-0.0107651906529391
22.5255,-0.010567938923507
22.527,-0.0102527977652796
22.5285,-0.0099013950638513
22.53,-0.00959473326161125
22.5315,-0.00939914657313573
22.533,-0.00935484994107231
22.5345,-0.00946900103557801
22.536,-0.00971467259685257
22.5375,-0.0100362198634592
22.539,-0.0103603296241523
22.5405,-0.0106107883939804
22.542,-0.0107239697498887
22.5435,-0.0106615207525544
22.545,-0.0104170752537932
22.5465,-0.0100152376989259
22.548,-0.00950322106029362
22.5495,-0.00893813075107412
22.551,-0.00837396619411255
22.5525,-0.00785199354311399
22.554,-0.00739679005430941
22.5555,-0.00701775138062216
22.557,-0.00671389939149743
22.5585,-0.00647910643702184
22.56,-0.00630551480545606
22.5615,-0.00618439050635325
22.563,-0.00610510025279612
22.5645,-0.00605373731367696
22.566,-0.00601291164994915
22.5675,-0.00596347860276023
22.569,-0.00588787202215236
22.5705,-0.0057737161775298
22.572,-0.00561597815948126
22.5735,-0.00541635601972138
22.575,-0.00517977918441861
22.5765,-0.00490932851489569
22.578,-0.00460187140340568
22.5795,-0.004246729028372
22.581,-0.00382867208695745
22.5825,-0.00333485943645505
22.584,-0.00276361874341021
22.5855,-0.00213184523259708
22.587,-0.0014777182096287
22.5885,-0.000856580762100609
22.59,-0.000330000263655994
22.5915,4.93949652143762e-05
22.593,0.00025268072557619
22.5945,0.000283869772154517
22.596,0.000179960700502868
22.5975,1.25013349278528e-06
22.599,-0.000185115681724772
22.6005,-0.000322904493926342
22.602,-0.000380107217488879
22.6035,-0.000353981326594041
22.605,-0.000267342659773053
22.6065,-0.000158768418532352
22.608,-7.09617155354268e-05
22.6095,-4.10626399432656e-05
22.611,-9.47871354202408e-05
22.6125,-0.000244195519761569
22.614,-0.000487731847460931
22.6155,-0.000811359268083596
22.617,-0.0011900305745176
22.6185,-0.00159000954913671
22.62,-0.00197280437780468
22.6215,-0.00230043293860824
22.623,-0.00254131571957992
22.6245,-0.00267549091887061
22.626,-0.00269782596284819
22.6275,-0.00261837241565931
22.629,-0.0024597182579648
22.6305,-0.00225194010326507
22.632,-0.00202640203465318
22.6335,-0.00181001207516179
22.635,-0.0016214600090042
22.6365,-0.00147035505340125
22.638,-0.00135920179493516
22.6395,-0.00128714872453769
22.641,-0.00125383121601161
22.6425,-0.00126168421047842
22.644,-0.00131580853522407
22.6455,-0.00142154249548812
22.647,-0.001580867797042
22.6485,-0.00178926133617042
22.65,-0.00203440281167345
22.6515,-0.00229736246604165
22.653,-0.00255586562059468
22.6545,-0.00278840540313036
22.656,-0.00297771347649223
22.6575,-0.00311250818501606
22.659,-0.0031873010502936
22.6605,-0.00320090936475731
22.662,-0.00315476517688038
22.6635,-0.00305195005338412
22.665,-0.00289725728360982
22.6665,-0.00269783447697152
22.668,-0.00246348411851357
22.6695,-0.00220579804079986
22.671,-0.00193602641767495
22.6725,-0.00166259168007293
22.674,-0.00138976919313552
22.6755,-0.00111865830718984
22.677,-0.000850191349579727
22.6785,-0.000588426052348978
22.68,-0.000341870169916313
22.6815,-0.00012161313470696
22.683,6.27932850696636e-05
22.6845,0.000208055196208962
22.686,0.00031930618691188
22.6875,0.000408161715761994
22.689,0.000488353080026377
22.6905,0.000570866766778214
22.692,0.000660758694845666
22.6935,0.000756697961441267
22.695,0.000852901181708064
22.6965,0.000942158662825336
22.698,0.00101848379545006
22.6995,0.00107843783410102
22.701,0.00112099332962934
22.7025,0.00114647349203835
22.704,0.0011553767022512
22.7055,0.00114772789266041
22.707,0.00112315863610087
22.7085,0.00108147938830223
22.71,0.00102329828907893
22.7115,0.000950319811460689
22.713,0.000865204771612936
22.7145,0.000771106434740042
22.716,0.000671098531052148
22.7175,0.000567683304789006
22.719,0.000462485993523372
22.7205,0.000356170024186322
22.722,0.000248557489445716
22.7235,0.000138897016140439
22.725,2.6183750391865e-05
22.7265,-9.0573885554206e-05
22.728,-0.000212208591565063
22.7295,-0.000339364664030603
22.731,-0.000472515232063893
22.7325,-0.000611945385447715
22.734,-0.000757668983045176
22.7355,-0.000909318738723896
22.737,-0.00106609005959534
22.7385,-0.00122679794858408
22.74,-0.00139003707393064
22.7415,-0.00155436576319237
22.743,-0.00171841380087729
22.7445,-0.00188085842834746
22.746,-0.00204029665759966
22.7475,-0.00219511106152876
22.749,-0.00234343448033583
22.7505,-0.00248350156696396
22.752,-0.00261349313488073
22.7535,-0.00273158007005694
22.755,-0.00283661634995205
22.7565,-0.00292837074274264
22.758,-0.0030075945272576
