figure,series,wing_type,marker,U_m_s,Re,alpha_deg,Cn,digitization_uncertainty,evidence_role
9,flexible_U5,flexible_membrane,triangle,5.0,24300,20,1.0692,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,20,0.84,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,20,0.8369,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,20,0.8154,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,21,1.1969,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,21,1.1569,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,21,1.0569,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,21,0.8277,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,21,0.7985,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,21,0.8015,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,22,1.1831,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,22,1.1215,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,22,1.0431,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,22,0.8154,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,22,0.8123,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,22,0.7846,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,23,1.1738,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,23,1.0862,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,23,0.9969,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,23,0.7969,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,23,0.7569,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,23,0.7615,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,24,1.1662,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,24,1.0662,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,24,0.9692,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,24,0.7908,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,24,0.7877,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,24,0.7708,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,25,1.1462,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,25,1.0231,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,25,0.9338,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,25,0.7908,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,25,0.7585,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,25,0.7615,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,26,1.1446,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,26,0.9954,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,26,0.9154,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,26,0.7969,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,26,0.7938,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,26,0.7738,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,27,1.1308,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,27,0.9723,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,27,0.9,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,27,0.7969,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,27,0.7708,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,27,0.7738,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,28,1.1231,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,28,0.9738,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,28,0.9046,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,28,0.8031,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,28,0.76,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,28,0.7631,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,29,1.12,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,29,0.9785,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,29,0.9185,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,29,0.8123,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,29,0.7785,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,29,0.7815,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,30,1.1169,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,30,0.9831,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,30,0.9308,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,30,0.8185,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,30,0.7831,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,30,0.7877,0.02,digitized_approx_overlap
