figure,AR,alpha_deg,Re,fc_over_U,PSD,digitization_uncertainty,evidence_role
12,2,15,48700,1.97,0.001226,0.00035,digitized_trace_approx
12,2,15,48700,1.98,0.001153,0.00035,digitized_trace_approx
12,2,15,48700,1.99,0.001226,0.00035,digitized_trace_approx
12,2,15,48700,2.0,0.001189,0.00035,digitized_trace_approx
12,2,15,48700,2.01,0.001226,0.00035,digitized_trace_approx
12,2,15,48700,2.02,0.001189,0.00035,digitized_trace_approx
12,2,15,48700,2.03,0.001081,0.00035,digitized_trace_approx
12,2,15,48700,2.04,0.000973,0.00035,digitized_trace_approx
12,2,15,48700,2.05,0.001045,0.00035,digitized_trace_approx
12,2,15,48700,2.06,0.001081,0.00035,digitized_trace_approx
12,2,15,48700,2.07,0.001081,0.00035,digitized_trace_approx
12,2,15,48700,2.08,0.001009,0.00035,digitized_trace_approx
12,2,15,48700,2.09,0.001081,0.00035,digitized_trace_approx
12,2,15,48700,2.1,0.001045,0.00035,digitized_trace_approx
12,2,15,48700,2.11,0.000973,0.00035,digitized_trace_approx
12,2,15,48700,2.12,0.000865,0.00035,digitized_trace_approx
12,2,15,48700,2.13,0.000829,0.00035,digitized_trace_approx
12,2,15,48700,2.14,0.000919,0.00035,digitized_trace_approx
12,2,15,48700,2.15,0.001081,0.00035,digitized_trace_approx
12,2,15,48700,2.16,0.001117,0.00035,digitized_trace_approx
12,2,15,48700,2.17,0.001189,0.00035,digitized_trace_approx
12,2,15,48700,2.18,0.001153,0.00035,digitized_trace_approx
12,2,15,48700,2.19,0.001117,0.00035,digitized_trace_approx
12,2,15,48700,2.2,0.001081,0.00035,digitized_trace_approx
12,2,15,48700,2.21,0.001009,0.00035,digitized_trace_approx
12,2,15,48700,2.22,0.000937,0.00035,digitized_trace_approx
12,2,15,48700,2.23,0.000901,0.00035,digitized_trace_approx
12,2,15,48700,2.24,0.000901,0.00035,digitized_trace_approx
12,2,15,48700,2.25,0.000973,0.00035,digitized_trace_approx
12,2,15,48700,2.26,0.000937,0.00035,digitized_trace_approx
12,2,15,48700,2.27,0.000901,0.00035,digitized_trace_approx
12,2,15,48700,2.28,0.000973,0.00035,digitized_trace_approx
12,2,15,48700,2.29,0.000919,0.00035,digitized_trace_approx
12,2,15,48700,2.3,0.000901,0.00035,digitized_trace_approx
12,2,15,48700,2.31,0.000937,0.00035,digitized_trace_approx
12,2,15,48700,2.32,0.000973,0.00035,digitized_trace_approx
12,2,15,48700,2.33,0.000901,0.00035,digitized_trace_approx
12,2,15,48700,2.34,0.000829,0.00035,digitized_trace_approx
12,2,15,48700,2.35,0.000793,0.00035,digitized_trace_approx
12,2,15,48700,2.36,0.000865,0.00035,digitized_trace_approx
12,2,15,48700,2.37,0.000937,0.00035,digitized_trace_approx
12,2,15,48700,2.38,0.000901,0.00035,digitized_trace_approx
12,2,15,48700,2.39,0.000793,0.00035,digitized_trace_approx
12,2,15,48700,2.4,0.000865,0.00035,digitized_trace_approx
12,2,15,48700,2.41,0.000847,0.00035,digitized_trace_approx
12,2,15,48700,2.42,0.000793,0.00035,digitized_trace_approx
12,2,15,48700,2.43,0.000757,0.00035,digitized_trace_approx
12,2,15,48700,2.44,0.000793,0.00035,digitized_trace_approx
12,2,15,48700,2.45,0.000793,0.00035,digitized_trace_approx
12,2,15,48700,2.46,0.000757,0.00035,digitized_trace_approx
12,2,15,48700,2.47,0.000721,0.00035,digitized_trace_approx
12,2,15,48700,2.48,0.000775,0.00035,digitized_trace_approx
12,2,15,48700,2.49,0.000793,0.00035,digitized_trace_approx
12,2,15,48700,2.5,0.000829,0.00035,digitized_trace_approx
12,2,15,48700,2.51,0.000793,0.00035,digitized_trace_approx
12,2,15,48700,2.52,0.000757,0.00035,digitized_trace_approx
12,2,15,48700,2.53,0.000649,0.00035,digitized_trace_approx
12,2,15,48700,2.54,0.000613,0.00035,digitized_trace_approx
12,2,15,48700,2.55,0.000613,0.00035,digitized_trace_approx
12,2,15,48700,2.56,0.000685,0.00035,digitized_trace_approx
12,2,15,48700,2.57,0.000739,0.00035,digitized_trace_approx
12,2,15,48700,2.58,0.000757,0.00035,digitized_trace_approx
12,2,15,48700,2.59,0.000757,0.00035,digitized_trace_approx
12,2,15,48700,2.6,0.000757,0.00035,digitized_trace_approx
12,2,15,48700,2.61,0.000685,0.00035,digitized_trace_approx
12,2,15,48700,2.62,0.000649,0.00035,digitized_trace_approx
12,2,15,48700,2.63,0.000613,0.00035,digitized_trace_approx
12,2,15,48700,2.64,0.000685,0.00035,digitized_trace_approx
12,2,15,48700,2.65,0.000757,0.00035,digitized_trace_approx
12,2,15,48700,2.66,0.000829,0.00035,digitized_trace_approx
12,2,15,48700,2.67,0.000793,0.00035,digitized_trace_approx
12,2,15,48700,2.68,0.000757,0.00035,digitized_trace_approx
12,2,15,48700,2.69,0.000793,0.00035,digitized_trace_approx
12,2,15,48700,2.7,0.000685,0.00035,digitized_trace_approx
12,2,15,48700,2.71,0.000649,0.00035,digitized_trace_approx
12,2,15,48700,2.72,0.000685,0.00035,digitized_trace_approx
12,2,15,48700,2.73,0.000721,0.00035,digitized_trace_approx
12,2,15,48700,2.74,0.000757,0.00035,digitized_trace_approx
12,2,15,48700,2.75,0.000739,0.00035,digitized_trace_approx
12,2,15,48700,2.76,0.000685,0.00035,digitized_trace_approx
12,2,15,48700,2.77,0.000685,0.00035,digitized_trace_approx
12,2,15,48700,2.78,0.000667,0.00035,digitized_trace_approx
12,2,15,48700,2.79,0.000613,0.00035,digitized_trace_approx
12,2,15,48700,2.8,0.000505,0.00035,digitized_trace_approx
12,2,15,48700,2.81,0.000541,0.00035,digitized_trace_approx
12,2,15,48700,2.82,0.000631,0.00035,digitized_trace_approx
12,2,15,48700,2.83,0.000649,0.00035,digitized_trace_approx
12,2,15,48700,2.84,0.000649,0.00035,digitized_trace_approx
12,2,15,48700,2.85,0.000649,0.00035,digitized_trace_approx
12,2,15,48700,2.86,0.000577,0.00035,digitized_trace_approx
12,2,15,48700,2.87,0.000577,0.00035,digitized_trace_approx
12,2,15,48700,2.88,0.000577,0.00035,digitized_trace_approx
12,2,15,48700,2.89,0.000649,0.00035,digitized_trace_approx
12,2,15,48700,2.9,0.000649,0.00035,digitized_trace_approx
12,2,15,48700,2.91,0.000649,0.00035,digitized_trace_approx
12,2,15,48700,2.92,0.000721,0.00035,digitized_trace_approx
12,2,15,48700,2.93,0.000721,0.00035,digitized_trace_approx
12,2,15,48700,2.94,0.000649,0.00035,digitized_trace_approx
12,2,15,48700,2.95,0.000577,0.00035,digitized_trace_approx
12,2,15,48700,2.96,0.000613,0.00035,digitized_trace_approx
12,2,15,48700,2.97,0.000577,0.00035,digitized_trace_approx
12,2,15,48700,2.98,0.000613,0.00035,digitized_trace_approx
12,2,15,48700,2.99,0.000613,0.00035,digitized_trace_approx
12,2,15,48700,3.0,0.0,0.00035,digitized_trace_approx
