figure,case_id,quantity,point_index,phase,coefficient,x_pdf,y_pdf,is_plot_boundary_intersection
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,27,0.45351661988980013,0.37380774332534994,186.40814208984375,189.07571411132812,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,28,0.47031383749055655,0.3713254019873713,189.1712646484375,189.2550048828125,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,29,0.48711124060983035,0.35953354121114844,191.93441772460938,190.106689453125,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,30,0.5039084582105867,0.33927172052665,194.69754028320312,191.57012939453125,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,31,0.5207056758113432,0.3116894224206792,197.46066284179688,193.5623016357422,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,32,0.5375028934120996,0.2781980956148562,200.22378540039062,195.98126220703125,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,33,0.5542978847906475,0.24041918434483955,202.98654174804688,198.70989990234375,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,34,0.5710951023914038,0.20010025691256605,205.74966430664062,201.6219940185547,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,35,0.5878923199921603,0.15904148613002855,208.51278686523438,204.5875244140625,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,36,0.6046897231114341,0.11902698881418294,211.27593994140625,207.47763061523438,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,37,0.6214869407121905,0.08173609528805825,214.0390625,210.1710205078125,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,38,0.6382841583129469,0.04868546329338619,216.80218505859375,212.5581512451172,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,39,0.655081468672962,0.021144995279749113,219.56532287597656,214.54730224609375,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,40,0.6718786862737185,0.00011713462150497733,222.3284454345703,216.06607055664062,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,41,0.6886736776522663,-0.013747639619249408,225.09120178222656,217.06747436523438,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,42,0.7054708952530226,-0.020139404485678747,227.8543243408203,217.5291290283203,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,43,0.7222681128537791,-0.019116046065153713,230.61744689941406,217.45521545410156,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,44,0.7390654232137942,-0.011102625699973445,233.38058471679688,216.87643432617188,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,45,0.7558626408145507,0.003150450104968616,236.14370727539062,215.84698486328125,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,46,0.7726599511745658,0.022561936841776542,238.90684509277344,214.44496154785156,0
