figure,case_id,quantity,sample_index,phase,coefficient,std,lower,upper,x_pdf,y_centre_pdf
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,27,0.4452977785327646,0.4915498731947298,0.16372122661137417,0.32782864658335564,0.655271099806104,185.05615234375,391.4555358886719
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,28,0.46179083852427405,0.5236139337922641,0.2170775732727759,0.3065363605194882,0.74069150706504,187.7692413330078,387.9817352294922
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,29,0.4782839912750422,0.5532029693001665,0.2597511578546536,0.29345181144551297,0.8129541271548202,190.4823455810547,384.7760772705078
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,30,0.494774825044343,0.5791429167156961,0.2883603521545342,0.29078256456116186,0.8675032688702302,193.195068359375,381.96575927734375
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,31,0.5112678850358525,0.6004805540615794,0.30294938071450755,0.29753117334707185,0.903429934776087,195.9081573486328,379.654052734375
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,32,0.5277609450273619,0.6165405415947567,0.30538961770892853,0.31115092388582816,0.9219301593036853,198.62124633789062,377.91412353515625
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,33,0.54425409777813,0.6269555620993994,0.298486927238158,0.3284686348612414,0.9254424893375575,201.3343505859375,376.7857666015625
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,34,0.5607448387881722,0.6316944893850558,0.2851242142449873,0.3465702751400685,0.916818703630043,204.04705810546875,376.27235412597656
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,35,0.5772379915389403,0.6310367549533378,0.26740763733582124,0.36362911761751654,0.898444392289159,206.76016235351562,376.34361267089844
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,36,0.5937311442897084,0.625551080781821,0.24610844998990783,0.37944263079191315,0.8716595307717288,209.4732666015625,376.93792724609375
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,37,0.6102219780590094,0.616040269067677,0.22069342253733604,0.3953468465303409,0.836733691605013,212.1859893798828,377.96832275390625
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,38,0.6267150380505188,0.6034821892240576,0.1901213064441249,0.4133608827799327,0.7936034956681826,214.89907836914062,379.328857421875
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,39,0.6432080980420282,0.5889458357556179,0.1544326643476052,0.4345131714080127,0.743378500103223,217.61216735839844,380.9037170410156
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,40,0.6597012507927963,0.5735137240461234,0.11792178379019266,0.45559194025593075,0.6914355078363161,220.3252716064453,382.57562255859375
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,41,0.6761919918028385,0.5582058354134545,0.09670498930135742,0.4615008461120971,0.6549108247148119,223.03797912597656,384.23406982421875
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,42,0.6926851445536066,0.5439160971462862,0.11556027774809086,0.42835581939819534,0.659476374894377,225.75108337402344,385.78221130371094
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,43,0.7091782973043748,0.53135280613051,0.16737045554623778,0.3639823505842722,0.6987232616767477,228.4641876220703,387.143310546875
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,44,0.7256713572958842,0.5210162348932048,0.23070267582618015,0.29031355906702466,0.7517189107193849,231.17727661132812,388.26316833496094
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,45,0.742162191065185,0.513169195522077,0.2933791334692748,0.21979006205280216,0.8065483289913518,233.88999938964844,389.1133117675781
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,46,0.7586552510566945,0.507849574647133,0.34797559826157093,0.15987397638556206,0.8558251729087039,236.60308837890625,389.68963623046875
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,47,0.7751483110482039,0.5048968118289385,0.38910456324759185,0.11579224858134668,0.8940013750765303,239.31617736816406,390.00953674316406
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,48,0.7916415565582308,0.5039871101813012,0.41290511322890383,0.09108199695239733,0.916892223410205,242.029296875,390.10809326171875
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,49,0.808132297568273,0.5046851255653686,0.41715404948930385,0.08753107607606475,0.9218391750546724,244.74200439453125,390.032470703125
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,50,0.8246254503190411,0.5064887545016812,0.401405323860644,0.1050834306410372,0.9078940783623252,247.45510864257812,389.8370666503906
