figure,case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
10,razak2014_fig10,old,0.7109375,0.19168921738427666,-0.009438714366654964,,,,
10,razak2014_fig10,old,0.71875,0.17462377603247703,-0.00663130220750839,,,,
10,razak2014_fig10,old,0.7265625,0.157477973971031,-0.004158442325485388,,,,
10,razak2014_fig10,old,0.734375,0.14025701770335533,-0.0020394674463355537,,,,
10,razak2014_fig10,old,0.7421875,0.12296416462827085,-0.0002902452335467258,,,,
10,razak2014_fig10,old,0.75,0.10560159221535874,0.001076939481131848,,,,
10,razak2014_fig10,old,0.7578125,0.08817133230844929,0.002053459810132981,,,,
10,razak2014_fig10,old,0.765625,0.07067604538880438,0.0026344298950786793,,,,
10,razak2014_fig10,old,0.7734375,0.05311979296590848,0.002818747079536607,,,,
10,razak2014_fig10,old,0.78125,0.035508890667354964,0.00260907327275685,,,,
10,razak2014_fig10,old,0.7890625,0.01785270562406316,0.002011781280326208,,,,
10,razak2014_fig10,old,0.796875,0.00016430533164979368,0.0010368777398709625,,,,
10,razak2014_fig10,old,0.8046875,-0.017539013002110703,-0.00030210247862006356,,,,
10,razak2014_fig10,old,0.8125,-0.03523522932899425,-0.0019882460633880127,,,,
10,razak2014_fig10,old,0.8203125,-0.05289723593626452,-0.0040014346768875685,,,,
10,razak2014_fig10,old,0.828125,-0.07049252506434925,-0.006318551208442438,,,,
10,razak2014_fig10,old,0.8359375,-0.08798309196873162,-0.008913709760199217,,,,
10,razak2014_fig10,old,0.84375,-0.10532548839886484,-0.011758507329333371,,,,
10,razak2014_fig10,old,0.8515625,-0.12247093994790122,-0.014822303800139333,,,,
10,razak2014_fig10,old,0.859375,-0.13936560024068323,-0.01807251900508015,,,,
10,razak2014_fig10,old,0.8671875,-0.15595096618912743,-0.021474945274820814,,,,
10,razak2014_fig10,old,0.875,-0.1721644015282463,-0.02499407759132878,,,,
10,razak2014_fig10,old,0.8828125,-0.18793980603064464,-0.028593452062193273,,,,
10,razak2014_fig10,old,0.890625,-0.20320838416186132,-0.03223599542433446,,,,
10,razak2014_fig10,old,0.8984375,-0.21789952486699904,-0.035884380508964184,,,,
10,razak2014_fig10,old,0.90625,-0.23194174789184735,-0.039501382838474576,,,,
10,razak2014_fig10,old,0.9140625,-0.24526373739937818,-0.04305023760054646,,,,
10,razak2014_fig10,old,0.921875,-0.25779538254021034,-0.04649499315888853,,,,
10,razak2014_fig10,old,0.9296875,-0.26946887360596283,-0.049800856783363434,,,,
10,razak2014_fig10,old,0.9375,-0.2802197684853094,-0.052934529724491336,,,,
10,razak2014_fig10,old,0.9453125,-0.28998802699249976,-0.05586453017379118,,,,
10,razak2014_fig10,old,0.953125,-0.2987190106006334,-0.05856149788508752,,,,
10,razak2014_fig10,old,0.9609375,-0.30636438524735343,-0.060998479978250676,,,,
10,razak2014_fig10,old,0.96875,-0.3128829270023835,-0.0631511925631559,,,,
10,razak2014_fig10,old,0.9765625,-0.3182412101204802,-0.06499825875201891,,,,
10,razak2014_fig10,old,0.984375,-0.32241415454155364,-0.06652141867718783,,,,
10,razak2014_fig10,old,0.9921875,-0.3253854165804142,-0.06770570893385591,,,,
10,razak2014_fig10,v4b,0.0,-0.31505321154156474,-0.05507973465459004,0.7159843489711876,0.03757840852685609,0.02263693417731414,0.4999999999999999
10,razak2014_fig10,v4b,0.0078125,-0.3163015015593461,-0.05552099262285575,0.7208842840175324,0.03578344340895236,0.023297866393865767,0.4999999999999999
10,razak2014_fig10,v4b,0.015625,-0.3270659254812741,-0.05619814022152273,0.7257522132245031,-0.00501425545707446,0.022430687130466156,0.4999999999999999
10,razak2014_fig10,v4b,0.0234375,-0.3249280259205533,-0.05632241246561783,0.7305777583796754,-0.0036346962829473723,0.022849639391534327,0.4999999999999999
10,razak2014_fig10,v4b,0.03125,-0.3195823489574873,-0.056219272296514945,0.7353514129824187,0.00568650899789144,0.02334582456618485,0.4999999999999999
10,razak2014_fig10,v4b,0.0390625,-0.32822244521579524,-0.05642425870146233,0.740064525778611,-0.04264999329882973,0.021790498719942496,0.4999999999999999
10,razak2014_fig10,v4b,0.046875,-0.3159120217785499,-0.055767290659253316,0.7447092767401519,-0.01481377989807207,0.022553215799577798,0.39644660940672627
10,razak2014_fig10,v4b,0.0546875,-0.3067311986761656,-0.055025522848671224,0.749278646853323,-0.0024864225906016313,0.02252716857941636,0.4999999999999999
10,razak2014_fig10,v4b,0.0625,-0.3018724795656586,-0.05417560812097883,0.7537663830026679,-0.011190212248882198,0.02174036040829315,0.4999999999999999
10,razak2014_fig10,v4b,0.0703125,-0.30060470674624173,-0.05316743242689382,0.7581669591395301,-0.03885099112557674,0.020328579834884404,0.4999999999999999
10,razak2014_fig10,v4b,0.078125,-0.26763615393350115,-0.05111013905483966,0.7624755348135873,0.062297313485338915,0.02186693870682874,0.4999999999999999
10,razak2014_fig10,v4b,0.0859375,-0.27687492211052256,-0.04971290144799888,0.766687912027489,-0.017299580565997244,0.019020716771508683,0.37940952255126037
10,razak2014_fig10,v4b,0.09375,-0.26940279571925896,-0.04745525039929012,0.7708004912540379,-0.030217508327078483,0.018035600255762795,0.37940952255126037
10,razak2014_fig10,v4b,0.1015625,-0.26503135323557453,-0.04497443608798947,0.7748102273361507,-0.06044507018884402,0.01651914555920966,0.37940952255126037
10,razak2014_fig10,v4b,0.109375,-0.25448749228457335,-0.04212080737352462,0.7787145858751824,-0.0666990479036973,0.015233999590609462,0.37940952255126037
10,razak2014_fig10,v4b,0.1171875,-0.23040012757146291,-0.038977934679302474,0.7825115006053445,-0.013443068954376778,0.01431035477608014,0.37940952255126037
10,razak2014_fig10,v4b,0.125,-0.22332480115909278,-0.03587709630630124,0.7861993321523837,-0.04017051286703779,0.012729364768871997,0.24999999999999997
10,razak2014_fig10,v4b,0.1328125,-0.2039018439824452,-0.032699897260000235,0.7897768284843774,-0.011126293478413214,0.01124535120742216,0.24999999999999997
10,razak2014_fig10,v4b,0.140625,-0.1942423151065342,-0.02950125220390206,0.7932430872818657,-0.030168709454834842,0.009779516262732619,0.24999999999999997
10,razak2014_fig10,v4b,0.1484375,-0.1787881477563457,-0.0263120095096216,0.796597520383629,-0.02301984153938628,0.00836672760281576,0.20004978874768492
10,razak2014_fig10,v4b,0.15625,-0.16411497059316044,-0.023170770537706057,0.799839820403019,-0.021033672575703453,0.007004329117839197,0.12059047744873952
10,razak2014_fig10,v4b,0.1640625,-0.14586533792077908,-0.020172236419086224,0.8029699295574066,-0.0021842306324718966,0.005401685184644109,0.12059047744873952
