case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
W1,fluxv_old_filtered,0.1640625,1.5974114583899057,-0.368199453798179,,,,
W1,fluxv_old_filtered,0.171875,1.6432024237549747,-0.39770739163442304,,,,
W1,fluxv_old_filtered,0.1796875,1.686314047390395,-0.42663931369676106,,,,
W1,fluxv_old_filtered,0.1875,1.7265061864376738,-0.4547110618541471,,,,
W1,fluxv_old_filtered,0.1953125,1.7635553031210818,-0.4816375785114919,,,,
W1,fluxv_old_filtered,0.203125,1.7972587239027846,-0.507137823309506,,,,
W1,fluxv_old_filtered,0.2109375,1.8274386610630873,-0.5309398901564079,,,,
W1,fluxv_old_filtered,0.21875,1.853945832171786,-0.5527861628914625,,,,
W1,fluxv_old_filtered,0.2265625,1.8766625189397934,-0.5724383364797616,,,,
W1,fluxv_old_filtered,0.234375,1.8955049229293408,-0.5896821278134499,,,,
W1,fluxv_old_filtered,0.2421875,1.9104247010318147,-0.6043315065083963,,,,
W1,fluxv_old_filtered,0.25,1.9214095971983332,-0.6162322915019434,,,,
W1,fluxv_old_filtered,0.2578125,1.9284831266474294,-0.6252649831289578,,,,
W1,fluxv_old_filtered,0.265625,1.9317033121599283,-0.6313467314504619,,,,
W1,fluxv_old_filtered,0.2734375,1.9311605162549172,-0.6344323781973253,,,,
W1,fluxv_old_filtered,0.28125,1.9269744550780699,-0.634514549648594,,,,
W1,fluxv_old_filtered,0.2890625,1.9192905169296621,-0.6316228187281263,,,,
W1,fluxv_old_filtered,0.296875,1.9082755381019236,-0.6258219941407704,,,,
W1,fluxv_old_filtered,0.3046875,1.89411320925096,-0.617209630149649,,,,
W1,fluxv_old_filtered,0.3125,1.8769992957874444,-0.6059128805581585,,,,
W1,fluxv_old_filtered,0.3203125,1.8571368554220538,-0.5920848429584016,,,,
W1,fluxv_old_filtered,0.328125,1.8347316255385175,-0.5759005532248137,,,,
