case_id,model,quantity,phase,experiment,prediction
W1,fluxv_old,CL,0.7775,-0.4,-0.3776443574996616
W1,fluxv_old,CL,0.78,-0.397599999999,-0.3782146583848626
W1,fluxv_old,CL,0.7825,-0.39,-0.37831397710533426
W1,fluxv_old,CL,0.785,-0.39,-0.3779423136610766
W1,fluxv_old,CL,0.7875,-0.38,-0.37757065021681896
W1,fluxv_old,CL,0.79,-0.38,-0.37685563275123274
W1,fluxv_old,CL,0.7925,-0.374099999999,-0.3755683585834323
W1,fluxv_old,CL,0.795,-0.37,-0.37428108441563174
W1,fluxv_old,CL,0.7975,-0.368699999999,-0.37277241546216255
W1,fluxv_old,CL,0.8,-0.36,-0.3705995621516871
W1,fluxv_old,CL,0.8025,-0.353299999999,-0.36842670884121176
W1,fluxv_old,CL,0.805,-0.35,-0.36614729529935425
W1,fluxv_old,CL,0.8075,-0.34,-0.3631219601378226
W1,fluxv_old,CL,0.81,-0.34,-0.3600966249762909
W1,fluxv_old,CL,0.8125,-0.332499999999,-0.35707128981475933
W1,fluxv_old,CL,0.815,-0.329799999999,-0.35322913012490226
W1,fluxv_old,CL,0.8175,-0.317099999999,-0.34938697043504496
W1,fluxv_old,CL,0.82,-0.31,-0.3455448107451879
W1,fluxv_old,CL,0.8225,-0.301699999999,-0.3410200253648262
W1,fluxv_old,CL,0.825,-0.298999999998,-0.3363977220286783
W1,fluxv_old,CL,0.8275,-0.286299999998,-0.3317754186925302
W1,fluxv_old,CL,0.83,-0.28,-0.3265955839668735
W1,fluxv_old,CL,0.8325,-0.270899999998,-0.32122990544471364
W1,fluxv_old,CL,0.835,-0.26,-0.31586422692255406
W1,fluxv_old,CL,0.8375,-0.255499999998,-0.3100564783790515
W1,fluxv_old,CL,0.84,-0.242799999998,-0.3039834878227436
W1,fluxv_old,CL,0.8425,-0.24,-0.2979104972664354
W1,fluxv_old,CL,0.845,-0.227399999998,-0.291501189069658
W1,fluxv_old,CL,0.8475,-0.214699999998,-0.28475556323241075
W1,fluxv_old,CL,0.85,-0.201999999998,-0.2780099373951638
W1,fluxv_old,CL,0.8525,-0.189299999998,-0.27102434705148454
W1,fluxv_old,CL,0.855,-0.18,-0.2636388158637523
W1,fluxv_old,CL,0.8575,-0.173899999998,-0.2562532846760198
W1,fluxv_old,CL,0.86,-0.161199999998,-0.24871536464458946
W1,fluxv_old,CL,0.8625,-0.148499999998,-0.24072027808206437
