case_id,model,quantity,observation_count,mae,rmse,bias,max_abs_error,range_nrmse,correlation,observed_mean,predicted_mean,observed_max,predicted_max,max_phase_error_cycle,observed_min,predicted_min,min_phase_error_cycle
W2,fluxv_v4b,CL,400,0.9001001049180286,1.03589735436152,-0.8749154621657117,1.8837770200494903,0.19954963200162318,0.9808671406591797,2.1151700367647135,1.2402545745990017,4.64705882353,4.463479052373555,0.135,-0.544117647059,-2.238298596361571,-0.030000000000000027
W2,fluxv_v4b,CD,400,0.6030134206974381,0.7230497193031789,-0.40843173433082564,1.4696587344656855,0.18064895686312482,0.8600224399844081,-0.1251317132538862,-0.5335634475847116,1.69472361809,0.913575340403298,-0.01750000000000007,-2.30778894472,-2.0472788227535825,0.03249999999999997
W2,fluxv_v4b_filtered,CL,400,0.8966912863805693,1.0323056437701223,-0.874928908668316,1.8988729721723223,0.1988577444089461,0.9815697968961451,2.1151700367647135,1.2402411280963974,4.64705882353,4.166847377450921,0.10499999999999998,-0.544117647059,-2.125387128123564,-0.03750000000000009
W2,fluxv_v4b_filtered,CD,400,0.6044957840698144,0.725677862528139,-0.408443298937531,1.4825057841333869,0.18130558021750978,0.858172381486086,-0.1251317132538862,-0.5335750121914171,1.69472361809,0.8924620760466855,-0.007500000000000062,-2.30778894472,-1.9759566526381198,0.04749999999999999
W2,fluxv_v4b_lcrit019,CL,400,0.8142971598995854,0.9421931130091308,-0.7656294591797121,1.8384677195240977,0.18149895661363016,0.9841245485206949,2.1151700367647135,1.3495405775850013,4.64705882353,4.680220113643887,0.10250000000000004,-0.544117647059,-2.0163080855033946,-0.05249999999999999
W2,fluxv_v4b_lcrit019,CD,400,0.5848736383033483,0.7140564697543537,-0.4484124087719125,1.4663406308362248,0.17840205584590194,0.8791494449175765,-0.1251317132538862,-0.5735441220257987,1.69472361809,0.9464754995336864,-0.007500000000000062,-2.30778894472,-2.1304623790531423,0.01750000000000007
W2,fluxv_v4b_lcrit019_filtered,CL,400,0.8041256271537294,0.9362861056974531,-0.7655353478375639,1.8332074507326306,0.18036106285387374,0.9851472745533844,2.1151700367647135,1.3496346889271496,4.64705882353,4.328142068681411,0.07499999999999996,-0.544117647059,-2.0003164621237906,-0.04500000000000004
W2,fluxv_v4b_lcrit019_filtered,CD,400,0.5863767402735991,0.7176797846273442,-0.4484217804798684,1.5120692229232955,0.17930731593344224,0.8767252767104161,-0.1251317132538862,-0.5735534937337545,1.69472361809,0.9148031631817783,-0.007500000000000062,-2.30778894472,-2.0890440084768636,0.040000000000000036
W2,published_standard_theodorsen_digitized,CL,400,1.3624943291365725,1.5419580587312278,-1.3167035275660033,2.7577939509172547,0.29703441357990945,0.9158162604168237,2.1151700367647135,0.7984665091987102,4.64705882353,2.994854351998886,0.08250000000000002,-0.544117647059,-1.3120426549014599,-0.1725
W3,fluxv_old,CL,400,0.3698746196971088,0.38651826646127474,-0.3698746196971088,0.6112577517631712,0.1253067283207075,0.9944135873894562,1.1404167910448346,0.7705421713477258,2.75124378109,2.287512216562062,0.0,-0.333333333333,-0.6778299011300041,-0.007500000000000062
W3,fluxv_old,CD,400,0.3218458296565487,0.3308441915765789,-0.3218458296565487,0.4374485240127156,0.5391654087702022,0.9178912881393994,0.12705842105261791,-0.19478740860393082,0.382456140351,0.03756992540189738,-0.029999999999999916,-0.231166666667,-0.5860809816694388,0.020000000000000018
W3,fluxv_old_filtered,CL,400,0.369874526704172,0.38650947489819987,-0.369874526704172,0.6116951080282998,0.12530387815267838,0.9944167294743211,1.1404167910448346,0.7705422643406626,2.75124378109,2.284120865873448,0.0,-0.333333333333,-0.6778397005836613,-0.007500000000000062
