figure,case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
9,razak2014_fig9,v4b,0.6796875,0.44342674555811573,-0.007850703727260148,0.8916701713467132,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.6875,0.4359235820224012,-0.004745303318003973,0.8938233395821985,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.6953125,0.428543399536477,-0.0016531155109029557,0.895862306175005,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.703125,0.421309908848864,0.0014121623107193405,0.8977907386728712,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.7109375,0.4142430670789898,0.004437434737007324,0.8996121219204307,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.71875,0.4073591482808891,0.007410294944569615,0.9013297546592808,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.7265625,0.40067085561600396,0.010319103235574011,0.9029467472622578,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.734375,0.394187488502181,0.013153056228236822,0.9044660203776748,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.7421875,0.3879151492214018,0.01590224495368644,0.905890304285584,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.75,0.38185698021741704,0.01855770212310174,0.9072221387897753,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.7578125,0.3760134333863891,0.021111439456447407,0.9084638734866597,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.765625,0.37038256205913067,0.023556475051266217,0.9096176682660106,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.7734375,0.3649603265073771,0.0258868502599497,0.9106854939093446,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.78125,0.35974090726778374,0.02809763606093711,0.9116691326601527,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.7890625,0.35471701862997057,0.03018492919728054,0.9125701786468642,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.796875,0.3498802233636072,0.032145838409562616,0.9133863861098388,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.8046875,0.3452212372448091,0.03397846146386182,0.9140995771014678,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.8125,0.3407302238588659,0.03568185350597287,0.914678703218828,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.8203125,0.3363970727915178,0.03725598760412359,0.9150897045298898,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.828125,0.33221165890735277,0.038701708087974074,0.9152886859613213,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.8359375,0.32816408030324734,0.04002067745850301,0.9152311016173337,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.84375,0.32424487222771625,0.041215317518211746,0.9148776189453783,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.8515625,0.3204451971623652,0.04228874535581774,0.914193991130083,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.859375,0.3167570065276046,0.04324470545065299,0.913138696953384,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.8671875,0.3131731745467725,0.044087498680581365,0.911671674428546,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.875,0.3096875984644415,0.04482190930547684,0.9097598591077571,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.8828125,0.306295271229817,0.045453130424117055,0.9073770181486794,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.890625,0.3029923251199877,0.045986688474279426,0.904503599472021,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.8984375,0.2997760541845708,0.04642836757013617,0.9011265707510138,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.90625,0.2966449117065932,0.0467841342534223,0.897239229948011,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.9140625,0.2935984879479609,0.04706006352755266,0.8928409751040004,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.921875,0.2906374670943136,0.04726226660475367,0.887937026291459,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.9296875,0.28776356580169693,0.04739682089489232,0.8825380971508212,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.9375,0.2849794580813444,0.04746970270661153,0.8766600172751422,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.9453125,0.2822886871906647,0.047486722906072795,0.8703233098853829,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.953125,0.2796955693624636,0.04745346601049238,0.8635527317421309,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.9609375,0.27720509197724785,0.04737523286957251,0.856376784068602,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.96875,0.27482280925251296,0.0472569873485328,0.8488272044319398,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.9765625,0.27255473846072736,0.047103307248849514,0.8409384500840585,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.984375,0.27040725961685064,0.04691833977283595,0.8327471832598139,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.9921875,0.26838702082117666,0.046705761712967656,0.8242917684475164,0.0,0.0,0.0
10,razak2014_fig10,old,0.0,-0.3271472224629759,-0.06853946848946019,,,,
10,razak2014_fig10,old,0.0078125,-0.32770226709310246,-0.06901505854835474,,,,
10,razak2014_fig10,old,0.015625,-0.3270602404241956,-0.06912797320690496,,,,
10,razak2014_fig10,old,0.0234375,-0.3252407467977491,-0.06887758940649844,,,,
10,razak2014_fig10,old,0.03125,-0.32227120002701226,-0.06826697409038218,,,,
10,razak2014_fig10,old,0.0390625,-0.31818669414495265,-0.06730286085449919,,,,
10,razak2014_fig10,old,0.046875,-0.31302924605671634,-0.06599558274705675,,,,
10,razak2014_fig10,old,0.0546875,-0.3068469471595973,-0.06435897692379544,,,,
10,razak2014_fig10,old,0.0625,-0.29969301141377425,-0.06241025219743841,,,,
10,razak2014_fig10,old,0.0703125,-0.2916247826946225,-0.06016981497888653,,,,
