benchmark,case_id,phase,strip_id,a0_pre,j,j_rate,supercritical_gate,chi_equilibrium,chi,chi_previous_cycle,chi_cycle_difference,loss_fraction,separated_CSf,target_CS,delta_CS_2d,delta_CS_projected,delta_CL_projected,delta_CD_projected,delta_CN,transient_owner,incidence_source,canonical_eligible
yang2025,aoa_20,0.5703125,1,0.09975760435595032,1.3100866033622451,1.0854335232230656,0.23669168325699208,0.20440004181229182,0.07767555125741385,0.07767555125741385,0.0,0.01838515697503205,0.04772785152836879,0.0468503674859387,-0.000877484042430085,-0.00021085256690457635,-7.211582515328836e-05,0.00019813660119399746,0.0,0.03590909789059271,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.578125,1,0.09997347213079556,1.315762591000319,0.06921652200660347,0.23998447224453923,0.016339477237073796,0.07327419864096552,0.07327419864096552,0.0,0.017584669889993642,0.04772785152836879,0.04688857301468379,-0.0008392785136849962,-0.0002016720765294589,-6.897591251939076e-05,0.00018950976213330352,0.0,0.03562012059425923,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.5859375,1,0.10071815541307033,1.3354373237827086,0.1478389069192767,0.2511816300240596,0.03580482625014054,0.07293830633866118,0.07293830633866118,0.0,0.018320762677339113,0.0477278515283688,0.04685344088741828,-0.0008744106409505209,-0.00021011405251598444,-7.186323835625409e-05,0.0001974426246726934,0.0,0.035328526782687164,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.59375,1,0.10496869372233024,1.4505328501605417,2.8679372714353155,0.3105981709484744,0.47111664073337817,0.08990350694855137,0.08990350694855137,0.0,0.027923864820073516,0.047727851528368725,0.04639510545413802,-0.0013327460742307076,-0.0003202484799670097,-0.0001095314310181442,0.00030093513344290284,0.0,0.03503477594481452,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.6015625,1,0.10598550551517052,1.478771032136682,1.9240958612052694,0.3237627879719174,0.3838383157574456,0.1057082317259459,0.1057082317259459,0.0,0.034224391815173734,0.04772785152836884,0.04609439483716551,-0.001633456691203336,-0.0003925068942722357,-0.00013424526423530314,0.0003688358321552146,0.0,0.03473932724800566,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.609375,1,0.10727112739405668,1.5148640989892694,3.1751455387329024,0.3398747777657357,0.519034656618035,0.1281083782115488,0.1281083782115488,0.0,0.04354080657457897,0.04772785152836871,0.04564974237675179,-0.002078109151616922,-0.0004993534101347852,-0.00017078892490446067,0.0004692387146679369,0.0,0.03444263981458928,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.6171875,1,0.10016360823328121,1.3207721573210698,1.9594587819316158,0.2428671406669367,0.3224418809103551,0.14434159195894541,0.14434159195894541,0.0,0.035055829718382774,0.04772785152836883,0.04605471209236608,-0.0016731394360027518,-0.0004020423481359938,-0.000137506581532461,0.0003777962277868326,0.0,0.03414517293491803,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.625,1,0.10208332971011355,1.3718847795296878,0.2627700609940884,0.27107581123334423,0.06649418617831301,0.14428492567963744,0.14428492567963744,0.0,0.0391121532773505,0.04772785152836877,0.04586111248379258,-0.0018667390445761892,-0.00044856282309116424,-0.00015341752104420657,0.00042151117481766193,0.0,0.033847386184928774,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.6328125,1,0.10654134021724182,1.4943223585566319,2.0410403302837685,0.3308003495538262,0.40304810373450173,0.14992023691299977,0.14992023691299977,0.0,0.04959366677601276,0.04772785152836877,0.04536085236373583,-0.002366999164632934,-0.0005687714255653916,-0.00019453128449142013,0.00053447031151768,0.0,0.03354973941105588,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.640625,1,0.10964383497422125,1.5826191553513609,1.1380347777232782,0.3681360442159013,0.29525433776364884,0.1517495566291126,0.1517495566291126,0.0,0.055864481488958416,0.04772785152836877,0.045061559850154455,-0.0026662916782143123,-0.0006406890806935582,-0.0002191285712060017,0.0006020508013458441,0.0,0.03325269254020302,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.6484375,1,0.09973790678316174,1.309569289846369,1.8704588256629473,0.23639015686041764,0.30659472698245727,0.164778658222932,0.164778658222932,0.0,0.03895205286456804,0.04772785152836879,0.04586875373252351,-0.0018590977958452756,-0.0004467266906587071,-0.00015278952676649267,0.0004197857747200963,0.0,0.03295670516794147,kinematic_proxy_no_uvlm_induction,false
