paper,scope,case_id,view,model_id,observable,n,aggregation,mae,rmse,bias,max_abs_error,reference_model,rmse_improvement_pct
izraelevitz2017_fig14,theta_25_markers,theta_25,cycle_mean,fluxv_v1_v2,CT,5,observation_equal_replicates_retained,0.1411366235413623,0.17964982432954746,-0.10937960898065305,0.32377807841265077,,
izraelevitz2017_fig14,unique_12_conditions,all,cycle_mean,fluxv_v1_v2,CT,12,unique_condition_equal_replicates_averaged,0.17313654455781732,0.21271395278134494,-0.15511247476923987,0.36892871220433043,,
izraelevitz2017_fig14,condition,theta_15_psi_105,cycle_mean,fluxv_v1_v2,CT,1,single_unique_condition,0.02875188232969164,0.02875188232969164,0.02875188232969164,0.02875188232969164,,
izraelevitz2017_fig14,condition,theta_15_psi_15,cycle_mean,fluxv_v1_v2,CT,1,single_unique_condition,0.36892871220433043,0.36892871220433043,-0.36892871220433043,0.36892871220433043,,
izraelevitz2017_fig14,condition,theta_15_psi_30,cycle_mean,fluxv_v1_v2,CT,1,single_unique_condition,0.3209845318614505,0.3209845318614505,-0.3209845318614505,0.3209845318614505,,
izraelevitz2017_fig14,condition,theta_15_psi_45,cycle_mean,fluxv_v1_v2,CT,1,single_unique_condition,0.28798892708138674,0.28798892708138674,-0.28798892708138674,0.28798892708138674,,
izraelevitz2017_fig14,condition,theta_15_psi_60,cycle_mean,fluxv_v1_v2,CT,1,single_unique_condition,0.20701526932259415,0.20701526932259415,-0.20701526932259415,0.20701526932259415,,
izraelevitz2017_fig14,condition,theta_15_psi_75,cycle_mean,fluxv_v1_v2,CT,1,single_unique_condition,0.11982528403359435,0.11982528403359435,-0.11982528403359435,0.11982528403359435,,
izraelevitz2017_fig14,condition,theta_15_psi_90,cycle_mean,fluxv_v1_v2,CT,1,single_unique_condition,0.0384608101539482,0.0384608101539482,-0.0384608101539482,0.0384608101539482,,
izraelevitz2017_fig14,condition,theta_25_psi_105,cycle_mean,fluxv_v1_v2,CT,1,single_unique_condition,0.0537732778104921,0.0537732778104921,0.0537732778104921,0.0537732778104921,,
izraelevitz2017_fig14,condition,theta_25_psi_45,cycle_mean,fluxv_v1_v2,CT,1,single_unique_condition,0.32377807841265077,0.32377807841265077,-0.32377807841265077,0.32377807841265077,,
izraelevitz2017_fig14,condition,theta_25_psi_60,cycle_mean,fluxv_v1_v2,CT,1,single_unique_condition,0.21139456630135917,0.21139456630135917,-0.21139456630135917,0.21139456630135917,,
izraelevitz2017_fig14,condition,theta_25_psi_75,cycle_mean,fluxv_v1_v2,CT,1,single_unique_condition,0.09111793659102843,0.09111793659102843,-0.09111793659102843,0.09111793659102843,,
izraelevitz2017_fig14,condition,theta_25_psi_90,cycle_mean,fluxv_v1_v2,CT,1,single_unique_condition,0.025619258591280974,0.025619258591280974,0.025619258591280974,0.025619258591280974,,
izraelevitz2017_fig14,all_14_markers,all,cycle_mean,fluxv_v3,CT,14,observation_equal_replicates_retained,0.033951069917194224,0.0471854978167865,0.01634010064380129,0.11796963878143447,,
izraelevitz2017_fig14,theta_15_markers,theta_15,cycle_mean,fluxv_v3,CT,9,observation_equal_replicates_retained,0.0423814869362063,0.05615833671216288,0.016341371565282967,0.11796963878143447,,
izraelevitz2017_fig14,theta_25_markers,theta_25,cycle_mean,fluxv_v3,CT,5,observation_equal_replicates_retained,0.018776319282972496,0.02360833674175941,0.016337812985134266,0.03550114326266626,,
izraelevitz2017_fig14,unique_12_conditions,all,cycle_mean,fluxv_v3,CT,12,unique_condition_equal_replicates_averaged,0.028729046139031586,0.039672185445261125,0.01209559488522411,0.10709034778143448,,
