paper,case_id,view,x_name,x_value,replicate,observable,units,model_id,model_label,data_role,value,uncertainty_minus,uncertainty_plus,uncertainty_kind,canonical_eligible,source_path
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,lift,gf,fluxv_v3,FluxV v3 persistent owner,local_model,0.0709565884392456,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v3_persistent_full/yang2025_v3_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,drag,gf,fluxv_v3,FluxV v3 persistent owner,local_model,-6.441994699500527,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v3_persistent_full/yang2025_v3_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,lift,gf,fluxv_v3,FluxV v3 persistent owner,local_model,13.419617874705535,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v3_persistent_full/yang2025_v3_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,drag,gf,fluxv_v3,FluxV v3 persistent owner,local_model,-3.7859176643830876,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v3_persistent_full/yang2025_v3_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,lift,gf,fluxv_v3,FluxV v3 persistent owner,local_model,25.245553111266094,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v3_persistent_full/yang2025_v3_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,drag,gf,fluxv_v3,FluxV v3 persistent owner,local_model,1.1556551029285875,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v3_persistent_full/yang2025_v3_mean_characteristics.csv
yang2025,aoa_15,cycle_mean,installation_aoa_deg,15.0,,lift,gf,fluxv_v3,FluxV v3 persistent owner,local_model,35.476333763920216,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v3_persistent_full/yang2025_v3_mean_characteristics.csv
yang2025,aoa_15,cycle_mean,installation_aoa_deg,15.0,,drag,gf,fluxv_v3,FluxV v3 persistent owner,local_model,8.531098545552007,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v3_persistent_full/yang2025_v3_mean_characteristics.csv
yang2025,aoa_20,cycle_mean,installation_aoa_deg,20.0,,lift,gf,fluxv_v3,FluxV v3 persistent owner,local_model,43.92694706311984,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v3_persistent_full/yang2025_v3_mean_characteristics.csv
yang2025,aoa_20,cycle_mean,installation_aoa_deg,20.0,,drag,gf,fluxv_v3,FluxV v3 persistent owner,local_model,17.725094756479454,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v3_persistent_full/yang2025_v3_mean_characteristics.csv
