s_over_c,experiment_CL_leading_edge_axis,experiment_CL_mid_chord_axis,source_figure
2.96000000,2.037693533,2.186811666,21
2.97000000,2.032724544,2.184778483,21
2.98000000,2.027659960,2.182745301,21
2.99000000,2.022519891,2.180712118,21
3.00000000,2.017308213,2.178668128,21
3.01000000,2.012024984,2.172294880,21
3.02000000,2.006663113,2.165921632,21
3.03000000,2.001209606,2.159548384,21
3.04000000,1.995684812,2.153175136,21
3.05000000,1.990088784,2.146801888,21
3.06000000,1.984421575,2.140428639,21
3.07000000,1.978665499,2.134055391,21
3.08000000,1.972828989,2.131764282,21
3.09000000,1.966921549,2.130124177,21
3.10000000,1.960943228,2.128484072,21
3.11000000,1.954893082,2.126843967,21
3.12000000,1.948746200,2.125203863,21
3.13000000,1.942528677,2.123563758,21
3.14000000,1.936240559,2.121923653,21
3.15000000,1.929881889,2.119640542,21
3.16000000,1.923441697,2.117099063,21
3.17000000,1.916915364,2.114557585,21
3.18000000,1.910318707,2.112016106,21
3.19000000,1.903651767,2.109474628,21
3.20000000,1.896914582,2.106933149,21
3.21000000,1.890086604,2.104391671,21
3.22000000,1.883182613,2.100527591,21
3.23000000,1.876208591,2.095679232,21
3.24000000,1.869164575,2.090830873,21
3.25000000,1.862047190,2.085982514,21
3.26000000,1.854837013,2.081134155,21
3.27000000,1.847557045,2.076285797,21
3.28000000,1.840207318,2.071437438,21
3.29000000,1.833026365,2.068554485,21
3.30000000,1.827164949,2.068242084,21
3.31000000,1.821262079,2.067929683,21
3.32000000,1.815326343,2.067617282,21
3.33000000,1.809366330,2.067304881,21
3.34000000,1.803390632,2.066992480,21
3.35000000,1.797407842,2.066680079,21
3.36000000,1.791426552,2.065523038,21
3.37000000,1.785456999,2.062238666,21
3.38000000,1.779507725,2.058954294,21
3.39000000,1.773587237,2.055669922,21
3.40000000,1.767704126,2.052385550,21
3.41000000,1.761866987,2.049101177,21
3.42000000,1.756084410,2.045816805,21
3.43000000,1.750364985,2.042149124,21
3.44000000,1.744717300,2.036205974,21
3.45000000,1.739153930,2.030262824,21
3.46000000,1.733685119,2.024319675,21
3.47000000,1.728315292,2.018376525,21
3.48000000,1.723053025,2.012433375,21
3.49000000,1.717906889,2.006490226,21
3.50000000,1.712885451,2.000574227,21
3.51000000,1.707997275,2.001199822,21
3.52000000,1.703250919,2.001825416,21
3.53000000,1.698654936,2.002451011,21
3.54000000,1.694233790,2.003076606,21
3.55000000,1.689981629,2.003702201,21
3.56000000,1.685906943,2.004327795,21
3.57000000,1.682018258,2.004953390,21
3.58000000,1.678324094,2.000550566,21
3.59000000,1.674832966,1.995356899,21
3.60000000,1.671553377,1.990163232,21
3.61000000,1.668493825,1.984969566,21
3.62000000,1.665673524,1.979775899,21
3.63000000,1.663103062,1.974582232,21
3.64000000,1.660779524,1.969388565,21
3.65000000,1.657629718,1.965727788,21
3.66000000,1.652898625,1.962678004,21
3.67000000,1.648537361,1.959628220,21
3.68000000,1.644450257,1.956578436,21
3.69000000,1.640655562,1.953528652,21
3.70000000,1.637090942,1.950478868,21
3.71000000,1.633746326,1.947429083,21
3.72000000,1.630583260,1.947300388,21
3.73000000,1.627572860,1.949331003,21
3.74000000,1.624690837,1.951361619,21
3.75000000,1.621899221,1.953392235,21
3.76000000,1.619177994,1.955422851,21
3.77000000,1.616489965,1.957453467,21
3.78000000,1.613809402,1.959484083,21
3.79000000,1.611108034,1.958449091,21
3.80000000,1.608349732,1.953281367,21
3.81000000,1.605514847,1.948113643,21
3.82000000,1.602563309,1.942945918,21
3.83000000,1.599474417,1.937778194,21
3.84000000,1.596213762,1.932610470,21
3.85000000,1.592749966,1.927442745,21
3.86000000,1.589063676,1.922762560,21
3.87000000,1.585103512,1.919248048,21
3.88000000,1.580874236,1.915733537,21
3.89000000,1.576295520,1.912219026,21
3.90000000,1.571400991,1.908704515,21
3.91000000,1.566084536,1.905190003,21
3.92000000,1.560392950,1.901675492,21
3.93000000,1.558360298,1.898776056,21
3.94000000,1.556368083,1.899479850,21
3.95000000,1.554165733,1.900183644,21
3.96000000,1.551768052,1.900887438,21
3.97000000,1.549189849,1.901591232,21
3.98000000,1.546445937,1.902295026,21
3.99000000,1.543551136,1.902998820,21
4.00000000,1.540520266,1.903655914,21
4.01000000,1.537358985,1.896275442,21
4.02000000,1.534091956,1.888894971,21
4.03000000,1.530736139,1.881514500,21
4.04000000,1.527306364,1.874134028,21
4.05000000,1.523817464,1.866753557,21
4.06000000,1.520284270,1.859373086,21
4.07000000,1.516721612,1.851992614,21
4.08000000,1.513144350,1.845642494,21
4.09000000,1.509569096,1.839464746,21
4.10000000,1.506011655,1.833286999,21
4.11000000,1.502486847,1.827109251,21
4.12000000,1.499009488,1.820931503,21
4.13000000,1.495594391,1.814753756,21
4.14000000,1.492256362,1.808576008,21
4.15000000,1.489010205,1.806909589,21
4.16000000,1.485878354,1.807026888,21
4.17000000,1.482875200,1.807144187,21
4.18000000,1.480011051,1.807261486,21
4.19000000,1.477300677,1.807378785,21
4.20000000,1.474758838,1.807496084,21
4.21000000,1.472400285,1.807613383,21
4.22000000,1.470239760,1.801763618,21
4.23000000,1.468291993,1.791532489,21
4.24000000,1.466595356,1.781301359,21
4.25000000,1.465144923,1.771070230,21
4.26000000,1.463954098,1.760839100,21
4.27000000,1.463037558,1.750607971,21
4.28000000,1.459404768,1.740376841,21
4.29000000,1.454034131,1.732781273,21
4.30000000,1.449144352,1.728714907,21
4.31000000,1.444743618,1.724648542,21
4.32000000,1.440772479,1.720582176,21
4.33000000,1.437175862,1.716515811,21
4.34000000,1.433962432,1.712449445,21
4.35000000,1.431043978,1.708383080,21
4.36000000,1.428406166,1.705440775,21
4.37000000,1.426008705,1.705284376,21
4.38000000,1.423798776,1.705127978,21
4.39000000,1.421760998,1.704971579,21
4.40000000,1.419836703,1.704815180,21
4.41000000,1.417995284,1.704658782,21
4.42000000,1.416197991,1.704502383,21
4.43000000,1.414405629,1.703337052,21
4.44000000,1.412577946,1.696338199,21
4.45000000,1.410678535,1.689339346,21
4.46000000,1.408672184,1.682340493,21
4.47000000,1.406507563,1.675341640,21
4.48000000,1.404165965,1.668342787,21
4.49000000,1.401588437,1.661343934,21
4.50000000,1.398747755,1.654403966,21
4.51000000,1.395616697,1.655341169,21
4.52000000,1.392118517,1.656278371,21
4.53000000,1.389449275,1.657215574,21
4.54000000,1.387137402,1.658152777,21
4.55000000,1.384801050,1.659089980,21
4.56000000,1.382441630,1.660027182,21
4.57000000,1.380059811,1.660964385,21
4.58000000,1.377657409,1.661734816,21
4.59000000,1.375236330,1.662477720,21
4.60000000,1.372797988,1.663220623,21
4.61000000,1.370343798,1.663963527,21
4.62000000,1.367875175,1.664706431,21
4.63000000,1.365393536,1.665449335,21
4.64000000,1.362900298,1.666192238,21
4.65000000,1.360396880,1.663063644,21
4.66000000,1.357884701,1.658416670,21
4.67000000,1.355365179,1.653769697,21
4.68000000,1.352839736,1.649122724,21
4.69000000,1.350309792,1.644475750,21
4.70000000,1.347776769,1.639828777,21
4.71000000,1.345242088,1.635181803,21
4.72000000,1.342707241,1.633157611,21
4.73000000,1.340173744,1.633118511,21
4.74000000,1.337643020,1.633079411,21
4.75000000,1.335116495,1.633040312,21
4.76000000,1.332595592,1.633001212,21
4.77000000,1.330081735,1.632962112,21
4.78000000,1.327576350,1.632923013,21
4.79000000,1.325080861,1.632497969,21
4.80000000,1.322596694,1.631559577,21
4.81000000,1.320125274,1.630621185,21
4.82000000,1.317668025,1.629682793,21
4.83000000,1.315226375,1.628744401,21
4.84000000,1.312801747,1.627806009,21
4.85000000,1.310395567,1.626867617,21
4.86000000,1.308009883,1.625026326,21
4.87000000,1.305646296,1.620965114,21
4.88000000,1.303305596,1.616903903,21
4.89000000,1.300989208,1.612842691,21
4.90000000,1.298331926,1.608781479,21
4.91000000,1.295891713,1.604720268,21
4.92000000,1.294893396,1.600659056,21
4.93000000,1.294917250,1.597412941,21
4.94000000,1.295560153,1.599172426,21
4.95000000,1.296419738,1.600931911,21
4.96000000,1.297093960,1.602691396,21
4.97000000,1.297180663,1.604450881,21
4.98000000,1.296277153,1.606210366,21
4.99000000,1.293973611,1.607969851,21
5.00000000,1.289856821,1.609729336,21
