model,theta_max_deg,phase_offset_deg,phase,lift_n,drag_n,CL,CD,CT
fluxv_periodic_v1,15.0,90.0,0.1875,148.10778189053235,-32.853604221696955,1.0296017630557233,-0.22838859915136195,0.22838859915136195
fluxv_periodic_v1,15.0,90.0,0.1953125,149.16000089099316,-35.05475699122374,1.03691648024456,-0.2436903661708344,0.2436903661708344
fluxv_periodic_v1,15.0,90.0,0.203125,149.92390767064035,-37.351041291623446,1.042226935624388,-0.2596534596287876,0.2596534596287876
fluxv_periodic_v1,15.0,90.0,0.2109375,150.38651922372705,-39.72489126972236,1.0454428751556415,-0.2761557668774837,0.2761557668774837
fluxv_periodic_v1,15.0,90.0,0.21875,150.5348982000723,-42.148436006483834,1.046474362182828,-0.29300353748050517,0.29300353748050517
fluxv_periodic_v1,15.0,90.0,0.2265625,150.35646799960176,-44.57884245693832,1.0452339678791538,-0.30989900870010284,0.30989900870010284
fluxv_periodic_v1,15.0,90.0,0.234375,149.83935312310658,-46.95473269473433,1.0416391372649507,-0.3264154992344738,0.3264154992344738
fluxv_periodic_v1,15.0,90.0,0.2421875,148.97275561422654,-49.194041647372885,1.035614806121689,-0.3419825168228353,0.3419825168228353
fluxv_periodic_v1,15.0,90.0,0.25,147.74726930575753,-51.193523269592134,1.0270955855399309,-0.35588232530795616,0.35588232530795616
fluxv_periodic_v1,15.0,90.0,0.2578125,146.15511717970634,-52.83003975530609,1.0160274119766617,-0.3672589068585881,0.3672589068585881
fluxv_periodic_v1,15.0,90.0,0.265625,144.19032197998987,-53.9637150912694,1.002368733304621,-0.37513988454754793,0.37513988454754793
fluxv_periodic_v1,15.0,90.0,0.2734375,141.84878632236442,-54.442991270219515,0.9860910657129822,-0.37847167165919593,0.37847167165919593
fluxv_periodic_v1,15.0,90.0,0.28125,139.1283245918615,-54.11162580971939,0.9671792154489518,-0.3761681163834923,0.3761681163834923
fluxv_periodic_v1,15.0,90.0,0.2890625,136.0286900491114,-52.817652293892024,0.9456314672529609,-0.3671727928681623,0.3671727928681623
fluxv_periodic_v1,15.0,90.0,0.296875,132.55049336435965,-50.54219526205023,0.9214520663250486,-0.3513544844589968,0.3513544844589968
fluxv_periodic_v1,15.0,90.0,0.3046875,128.68841832416615,-47.926974243975366,0.8946040559120932,-0.3331742366919996,0.3331742366919996
fluxv_periodic_v1,15.0,90.0,0.3125,124.4413480520856,-45.107992428033846,0.8650796718173558,-0.3135775037542217,0.3135775037542217
fluxv_periodic_v1,15.0,90.0,0.3203125,119.81142093565889,-42.11110880214122,0.832893779482436,-0.29274404972833895,0.29274404972833895
fluxv_periodic_v1,15.0,90.0,0.328125,114.80336765112179,-38.96456115516884,0.7980792651779314,-0.27087017542201736,0.27087017542201736
fluxv_periodic_v1,15.0,90.0,0.3359375,109.42468813825968,-35.698731057741384,0.7606882662806038,-0.24816708458350217,0.24816708458350217
fluxv_periodic_v1,15.0,90.0,0.34375,103.68579047080219,-32.34586142774158,0.7207931366595428,-0.22485892050002898,0.22485892050002898
fluxv_periodic_v1,15.0,90.0,0.3515625,97.60007925296615,-28.939726626348545,0.6784870611829475,-0.20118047260245836,0.20118047260245836
fluxv_periodic_v1,15.0,90.0,0.359375,91.18399341624195,-25.515259432100976,0.6338843184702746,-0.17737458329861502,0.17737458329861502
fluxv_periodic_v1,15.0,90.0,0.3671875,84.4569844790061,-22.108138515619963,0.5871201297594558,-0.15368928021882375,0.15368928021882375
fluxv_periodic_v1,15.0,90.0,0.375,77.4414325406832,-18.754343008364145,0.5383500749230057,-0.13037467970883063,0.13037467970883063
fluxv_periodic_v1,15.0,90.0,0.3828125,70.16249725951288,-15.489681955863347,0.48774905650926265,-0.10767971572700191,0.10767971572700191
fluxv_periodic_v1,15.0,90.0,0.390625,62.647904445355934,-12.349308164186551,0.4355098161983088,-0.08584876024787524,0.08584876024787524
fluxv_periodic_v1,15.0,90.0,0.3984375,54.92766646345243,-9.367226343016341,0.38184099113108444,-0.06511820401739576,0.06511820401739576
fluxv_periodic_v1,15.0,90.0,0.40625,47.033743631159616,-6.575807584089079,0.32696476003904307,-0.04571308134975254,0.04571308134975254
fluxv_periodic_v1,15.0,90.0,0.4140625,38.9996505243805,-4.005321592203535,0.2711141064021703,-0.02784381833485234,0.02784381833485234
fluxv_periodic_v1,15.0,90.0,0.421875,30.860018048157045,-1.6834988574426664,0.21452977409247817,-0.011703189188306025,0.011703189188306025
fluxv_periodic_v1,15.0,90.0,0.4296875,22.65012295143312,0.3648658936954732,0.15745699669893706,0.002536440439742859,-0.002536440439742859
fluxv_periodic_v1,15.0,90.0,0.4375,14.405393763083481,2.1182592401452727,0.10014206293998103,0.014725515569969289,-0.014725515569969289
fluxv_periodic_v1,15.0,90.0,0.4453125,6.160907341036131,3.5587346539673543,0.04282881682099674,0.024739277215564796,-0.024739277215564796
fluxv_periodic_v1,15.0,90.0,0.453125,-2.049102330532437,4.672130689994129,-0.01424475706318476,0.03247927917251599,-0.03247927917251599
fluxv_periodic_v1,15.0,90.0,0.4609375,-10.191708295961103,5.448217645889089,-0.0708497601957671,0.03787440755722566,-0.03787440755722566
fluxv_periodic_v1,15.0,90.0,0.46875,-18.23572508461132,5.880771531467349,-0.12676940035191697,0.04088139501948573,-0.04088139501948573
fluxv_periodic_v1,15.0,90.0,0.4765625,-26.15209240919585,5.967575075781552,-0.18180165895675654,0.041484827743442435,-0.041484827743442435
fluxv_periodic_v1,15.0,90.0,0.484375,-33.9141780591012,5.710348230018976,-0.23576139671070467,0.039696662324165834,-0.039696662324165834
fluxv_periodic_v1,15.0,90.0,0.4921875,-41.498020197691055,5.114615574971948,-0.28848203796910665,0.03555530402336006,-0.03555530402336006
fluxv_periodic_v1,15.0,90.0,0.5,-48.882493978755285,4.189517020534776,-0.3398167290108102,0.029124290807911322,-0.029124290807911322
fluxv_periodic_v1,15.0,90.0,0.5078125,-56.04938405184654,2.947570529369843,-0.3896388420739525,0.020490643874562543,-0.020490643874562543
fluxv_periodic_v1,15.0,90.0,0.515625,-62.983383684923034,1.4043976911540899,-0.43784196925683055,0.009762959922743062,-0.009762959922743062
fluxv_periodic_v1,15.0,90.0,0.5234375,-69.6720231016285,-0.4215784075116602,-0.48433942433973715,-0.002930689165009879,0.002930689165009879
fluxv_periodic_v1,15.0,90.0,0.53125,-76.10551982994595,-2.509452531428831,-0.5290632024527918,-0.017444976338741154,0.017444976338741154
fluxv_periodic_v1,15.0,90.0,0.5390625,-82.27655527000852,-4.8361633107224336,-0.5719624268410407,-0.033619585734026305,0.033619585734026305
fluxv_periodic_v1,15.0,90.0,0.546875,-88.17999867254747,-7.376816963661584,-0.613001430043764,-0.05128146309786069,0.05128146309786069
fluxv_periodic_v1,15.0,90.0,0.5546875,-93.81268866133979,-10.105010602814913,-0.6521582351027533,-0.0702470633180152,0.0702470633180152
fluxv_periodic_v1,15.0,90.0,0.5625,-99.17323447559359,-12.993154315804322,-0.6894231738578013,-0.09032458943376001,0.09032458943376001
fluxv_periodic_v1,15.0,90.0,0.5703125,-104.24727284916966,-15.90606783557128,-0.7246963971048255,-0.11057430796507661,0.11057430796507661
fluxv_periodic_v1,15.0,90.0,0.578125,-108.92126014848454,-17.918807262369356,-0.7571885828795845,-0.12456628081046521,0.12456628081046521
fluxv_periodic_v1,15.0,90.0,0.5859375,-113.2209268492673,-19.054805374830167,-0.78707860188581,-0.1324634057588498,0.1324634057588498
fluxv_periodic_v1,15.0,90.0,0.59375,-117.2054051063757,-19.61166238398026,-0.8147775234820306,-0.13633451199697194,0.13633451199697194
fluxv_periodic_v1,15.0,90.0,0.6015625,-120.92561603980596,-19.865387743898772,-0.8406393363260715,-0.13809833611593098,0.13809833611593098
fluxv_periodic_v1,15.0,90.0,0.609375,-124.41959511500355,-20.044735812410188,-0.8649284517930907,-0.13934511116841589,0.13934511116841589
fluxv_periodic_v1,15.0,90.0,0.6171875,-127.71152979013766,-20.31873326191385,-0.8878130139823177,-0.14124986089514024,0.14124986089514024
fluxv_periodic_v1,15.0,90.0,0.625,-130.8131867712305,-20.795504127974862,-0.9093748215751666,-0.1445642318080261,0.1445642318080261
fluxv_periodic_v1,15.0,90.0,0.6328125,-133.72655264410307,-21.52941395619297,-0.9296276847323031,-0.14966615719919685,0.14966615719919685
fluxv_periodic_v1,15.0,90.0,0.640625,-136.44676990660983,-22.533167914369766,-0.9485378355266862,-0.15664395966049383,0.15664395966049383
fluxv_periodic_v1,15.0,90.0,0.6484375,-138.96477654921836,-23.791710489292825,-0.9660422775318466,-0.1653929776896694,0.1653929776896694
fluxv_periodic_v1,15.0,90.0,0.65625,-141.26932521717407,-25.275371652225225,-0.9820628224437179,-0.1757069539685225,0.1757069539685225
fluxv_periodic_v1,15.0,90.0,0.6640625,-143.34826680820336,-26.950491811104406,-0.9965150132745527,-0.18735189690735427,0.18735189690735427
fluxv_periodic_v1,15.0,90.0,0.671875,-145.18921737311211,-28.786593789804225,-1.0093127604498457,-0.2001159381365767,0.2001159381365767
fluxv_periodic_v1,15.0,90.0,0.6796875,-146.77977313965582,-30.75988147459808,-1.0203698365910727,-0.21383365406848867,0.21383365406848867
fluxv_periodic_v1,15.0,90.0,0.6875,-148.10747547876733,-32.853401109947164,-1.0295996329712034,-0.2283871871781826,0.2283871871781826
fluxv_periodic_v1,15.0,90.0,0.6953125,-149.15969953798847,-35.054555414885435,-1.036914385327055,-0.24368896487138436,0.24368896487138436
fluxv_periodic_v1,15.0,90.0,0.703125,-149.923611420874,-37.35084175952088,-1.042224876183096,-0.2596520725402635,0.2596520725402635
fluxv_periodic_v1,15.0,90.0,0.7109375,-150.38622813124985,-39.72469427099634,-1.0454408515663074,-0.27615439740024866,0.27615439740024866
fluxv_periodic_v1,15.0,90.0,0.71875,-150.53461232676963,-42.14824200984832,-1.0464723748756612,-0.29300218887292084,0.29300218887292084
fluxv_periodic_v1,15.0,90.0,0.7265625,-150.3561874131048,-44.57865190974459,-1.0452320173243062,-0.3098976840720239,0.3098976840720239
fluxv_periodic_v1,15.0,90.0,0.734375,-149.83907789548323,-46.954546022178434,-1.041637223963417,-0.3264142015417381,0.3264142015417381
fluxv_periodic_v1,15.0,90.0,0.7421875,-148.9724858197652,-49.19385925134578,-1.0356129305899004,-0.3419812488592706,0.3419812488592706
fluxv_periodic_v1,15.0,90.0,0.75,-147.74700501952736,-51.19334552772099,-1.0270937482997464,-0.3558810896987157,0.3558810896987157
fluxv_periodic_v1,15.0,90.0,0.7578125,-146.1548584763956,-52.829867020057826,-1.0160256135472918,-0.3672577060539181,0.3672577060539181
fluxv_periodic_v1,15.0,90.0,0.765625,-144.19006893184405,-53.96354768877908,-1.0023669741882952,-0.3751387208146436,0.3751387208146436
fluxv_periodic_v1,15.0,90.0,0.7734375,-141.84853899780708,-54.44282949935351,-0.9860893463853613,-0.3784705470756884,0.3784705470756884
fluxv_periodic_v1,15.0,90.0,0.78125,-139.1280830540393,-54.11146994112863,-0.9671775363490125,-0.3761670328308673,0.3761670328308673
fluxv_periodic_v1,15.0,90.0,0.7890625,-136.02845435501737,-52.817502569334735,-0.945629828776902,-0.36717175202705193,0.36717175202705193
fluxv_periodic_v1,15.0,90.0,0.796875,-132.55026356265307,-50.542051893447315,-0.9214504688111352,-0.35135348780261294,0.35135348780261294
fluxv_periodic_v1,15.0,90.0,0.8046875,-128.68819445466178,-47.92683741304612,-0.8946024996371059,-0.33317328548360126,0.33317328548360126
fluxv_periodic_v1,15.0,90.0,0.8125,-124.44113014400251,-45.10786228574116,-0.8650781569844167,-0.3135765990432587,0.3135765990432587
