model,theta_max_deg,phase_offset_deg,phase,CT
v4b_legacy_025c,15.0,15.0,0.984375,-0.3393330591495982
v5c0_corrected_v4b_075c,15.0,15.0,0.984375,-0.33874437483144954
v4b_legacy_025c,15.0,15.0,0.9921875,-0.34579996597811496
v5c0_corrected_v4b_075c,15.0,15.0,0.9921875,-0.34499003940301215
v4b_legacy_025c,15.0,30.0,0.0,-0.2843385249392175
v5c0_corrected_v4b_075c,15.0,30.0,0.0,-0.2820450444039884
v4b_legacy_025c,15.0,30.0,0.0078125,-0.256511371758273
v5c0_corrected_v4b_075c,15.0,30.0,0.0078125,-0.25297749978590917
v4b_legacy_025c,15.0,30.0,0.015625,-0.2321330475724506
v5c0_corrected_v4b_075c,15.0,30.0,0.015625,-0.22749720018067582
v4b_legacy_025c,15.0,30.0,0.0234375,-0.20034980936330204
v5c0_corrected_v4b_075c,15.0,30.0,0.0234375,-0.19541476758666565
v4b_legacy_025c,15.0,30.0,0.03125,-0.15498157624748302
v5c0_corrected_v4b_075c,15.0,30.0,0.03125,-0.1500242937839374
v4b_legacy_025c,15.0,30.0,0.0390625,-0.10928633062742393
v5c0_corrected_v4b_075c,15.0,30.0,0.0390625,-0.10425803215799953
v4b_legacy_025c,15.0,30.0,0.046875,-0.06585291663659525
v5c0_corrected_v4b_075c,15.0,30.0,0.046875,-0.060336965350636734
v4b_legacy_025c,15.0,30.0,0.0546875,-0.023863474359027595
v5c0_corrected_v4b_075c,15.0,30.0,0.0546875,-0.017767171032776467
v4b_legacy_025c,15.0,30.0,0.0625,0.011701553329474701
v5c0_corrected_v4b_075c,15.0,30.0,0.0625,0.018384605723738897
v4b_legacy_025c,15.0,30.0,0.0703125,0.03828476677459834
v5c0_corrected_v4b_075c,15.0,30.0,0.0703125,0.04555230777044801
v4b_legacy_025c,15.0,30.0,0.078125,0.0602856369802024
v5c0_corrected_v4b_075c,15.0,30.0,0.078125,0.06812591149769201
v4b_legacy_025c,15.0,30.0,0.0859375,0.08452081242904251
v5c0_corrected_v4b_075c,15.0,30.0,0.0859375,0.09291200266698828
v4b_legacy_025c,15.0,30.0,0.09375,0.10237071405137814
v5c0_corrected_v4b_075c,15.0,30.0,0.09375,0.11128068169712664
v4b_legacy_025c,15.0,30.0,0.1015625,0.12870637589710585
v5c0_corrected_v4b_075c,15.0,30.0,0.1015625,0.13809273916243042
v4b_legacy_025c,15.0,30.0,0.109375,0.15959487792018906
v5c0_corrected_v4b_075c,15.0,30.0,0.109375,0.1694054305445376
v4b_legacy_025c,15.0,30.0,0.1171875,0.19550975332155845
v5c0_corrected_v4b_075c,15.0,30.0,0.1171875,0.20568321591111907
v4b_legacy_025c,15.0,30.0,0.125,0.23481872418232896
v5c0_corrected_v4b_075c,15.0,30.0,0.125,0.2452858029905511
v4b_legacy_025c,15.0,30.0,0.1328125,0.27322107365630566
