case,phase_t_over_T,variable,value
W3,0.518590998043,cl,1.22885572139
W3,0.520547945205,cl,1.21890547264
W3,0.522504892368,cl,1.21890547264
W3,0.52446183953,cl,1.20895522388
W3,0.526418786693,cl,1.19900497512
W3,0.528375733855,cl,1.18905472637
W3,0.530332681018,cl,1.16915422886
W3,0.53228962818,cl,1.16915422886
W3,0.534246575342,cl,1.16915422886
W3,0.536203522505,cl,1.13930348259
W3,0.538160469667,cl,1.10945273632
W3,0.54011741683,cl,1.10945273632
W3,0.542074363992,cl,1.10945273632
W3,0.544031311155,cl,1.09950248756
W3,0.545988258317,cl,1.08955223881
W3,0.547945205479,cl,1.07960199005
W3,0.549902152642,cl,1.06965174129
W3,0.551859099804,cl,1.05970149254
W3,0.553816046967,cl,1.04975124378
W3,0.555772994129,cl,1.03980099502
W3,0.557729941292,cl,1.02985074627
W3,0.559686888454,cl,1.01990049751
W3,0.561643835616,cl,1.00995024876
W3,0.563600782779,cl,0.990049751244
W3,0.565557729941,cl,0.980099502488
W3,0.567514677104,cl,0.970149253731
W3,0.569471624266,cl,0.960199004975
W3,0.571428571429,cl,0.940298507463
W3,0.573385518591,cl,0.930348258706
W3,0.575342465753,cl,0.92039800995
W3,0.577299412916,cl,0.910447761194
W3,0.579256360078,cl,0.890547263682
W3,0.581213307241,cl,0.880597014925
W3,0.583170254403,cl,0.870646766169
W3,0.585127201566,cl,0.860696517413
W3,0.587084148728,cl,0.8407960199
W3,0.58904109589,cl,0.830845771144
W3,0.590998043053,cl,0.820895522388
W3,0.592954990215,cl,0.800995024876
W3,0.594911937378,cl,0.791044776119
W3,0.59686888454,cl,0.771144278607
W3,0.598825831703,cl,0.761194029851
W3,0.600782778865,cl,0.751243781095
W3,0.602739726027,cl,0.731343283582
W3,0.60469667319,cl,0.71144278607
W3,0.606653620352,cl,0.701492537313
W3,0.608610567515,cl,0.691542288557
W3,0.610567514677,cl,0.671641791045
W3,0.61252446184,cl,0.661691542289
W3,0.614481409002,cl,0.641791044776
W3,0.616438356164,cl,0.63184079602
W3,0.618395303327,cl,0.611940298507
W3,0.620352250489,cl,0.592039800995
W3,0.622309197652,cl,0.582089552239
W3,0.624266144814,cl,0.562189054726
W3,0.626223091977,cl,0.55223880597
W3,0.628180039139,cl,0.532338308458
W3,0.630136986301,cl,0.522388059701
W3,0.632093933464,cl,0.502487562189
W3,0.634050880626,cl,0.482587064677
W3,0.636007827789,cl,0.47263681592
W3,0.637964774951,cl,0.452736318408
W3,0.639921722114,cl,0.442786069652
W3,0.641878669276,cl,0.422885572139
W3,0.643835616438,cl,0.402985074627
W3,0.645792563601,cl,0.393034825871
W3,0.647749510763,cl,0.373134328358
W3,0.649706457926,cl,0.363184079602
W3,0.651663405088,cl,0.34328358209
W3,0.65362035225,cl,0.323383084577
W3,0.655577299413,cl,0.313432835821
W3,0.657534246575,cl,0.293532338308
W3,0.659491193738,cl,0.283582089552
W3,0.6614481409,cl,0.26368159204
W3,0.663405088063,cl,0.253731343284
W3,0.665362035225,cl,0.233830845771
W3,0.667318982387,cl,0.213930348259
