aoa_deg,model,phase,lift_n,drag_n,CL,CD,CT
0.0,fluxv_periodic_v3_persistent,0.5078125,0.585555101400798,-0.1077245354173188,0.9684649623383177,-0.1781684386085416,0.1781684386085416
0.0,fluxv_periodic_v3_persistent,0.515625,0.5926941038557104,-0.11127554329720296,0.9802723460108195,-0.18404154381149865,0.18404154381149865
0.0,fluxv_periodic_v3_persistent,0.5234375,0.5982604950001092,-0.1145839730115165,0.9894787465308119,-0.18951344261488473,0.18951344261488473
0.0,fluxv_periodic_v3_persistent,0.53125,0.6021325809207733,-0.11761443870182625,0.9958828911388184,-0.19452560941799577,0.19452560941799577
0.0,fluxv_periodic_v3_persistent,0.5390625,0.6038473148077335,-0.12026423469082206,0.9987189345534901,-0.1989081766034715,0.1989081766034715
0.0,fluxv_periodic_v3_persistent,0.546875,0.6030679510724086,-0.12243232436985126,0.9974299244009467,-0.20249403707044383,0.20249403707044383
0.0,fluxv_periodic_v3_persistent,0.5546875,0.6001023753224379,-0.12414638576364052,0.9925250807745551,-0.2053289682309965,0.2053289682309965
0.0,fluxv_periodic_v3_persistent,0.5625,0.5948559391403927,-0.12536180871392855,0.9838478621707042,-0.2073391881726551,0.2073391881726551
0.0,fluxv_periodic_v3_persistent,0.5703125,0.5872406852716435,-0.12603383681787544,0.971252793775686,-0.20845067310519563,0.20845067310519563
0.0,fluxv_periodic_v3_persistent,0.578125,0.576330032165603,-0.12589136353261202,0.9532073780254857,-0.20821503279650944,0.20821503279650944
0.0,fluxv_periodic_v3_persistent,0.5859375,0.5627487620547423,-0.12503548537721154,0.9307449586648554,-0.20679947343488284,0.20679947343488284
0.0,fluxv_periodic_v3_persistent,0.59375,0.5466391146351252,-0.12346835891684306,0.9041007896631679,-0.20420756182009303,0.20420756182009303
0.0,fluxv_periodic_v3_persistent,0.6015625,0.5280219936807281,-0.12116254328817905,0.8733094443212597,-0.2003939127875237,0.2003939127875237
0.0,fluxv_periodic_v3_persistent,0.609375,0.5066767537155968,-0.1180078101252897,0.838005991290998,-0.19517621674751628,0.19517621674751628
0.0,fluxv_periodic_v3_persistent,0.6171875,0.48238209231084134,-0.11386306457473766,0.7978244126725341,-0.18832111321598755,0.18832111321598755
0.0,fluxv_periodic_v3_persistent,0.625,0.45597662207275075,-0.10896079864056238,0.7541517118823244,-0.1802131268250299,0.1802131268250299
0.0,fluxv_periodic_v3_persistent,0.6328125,0.42763070028883166,-0.10333031363185785,0.7072696473127633,-0.17090071977937923,0.17090071977937923
0.0,fluxv_periodic_v3_persistent,0.640625,0.3975287322155733,-0.09700893906223679,0.6574832116611283,-0.1604456323420928,0.1604456323420928
0.0,fluxv_periodic_v3_persistent,0.6484375,0.36557839358183436,-0.08990874736740131,0.604639707390399,-0.1487024388050818,0.1487024388050818
0.0,fluxv_periodic_v3_persistent,0.65625,0.3324500203111131,-0.0822738252098145,0.5498478206914249,-0.13607484051054966,0.13607484051054966
0.0,fluxv_periodic_v3_persistent,0.6640625,0.29855085442374835,-0.07427376121204204,0.4937810998382226,-0.12284332453575558,0.12284332453575558
0.0,fluxv_periodic_v3_persistent,0.671875,0.2641218795366857,-0.0660150683692886,0.43683811396451,-0.10918405552112814,0.10918405552112814
0.0,fluxv_periodic_v3_persistent,0.6796875,0.22940739917154682,-0.057613963825062516,0.37942292308154885,-0.09528924805286365,0.09528924805286365
0.0,fluxv_periodic_v3_persistent,0.6875,0.194801076834338,-0.0492992362311711,0.32218661760184913,-0.08153730169152597,0.08153730169152597
0.0,fluxv_periodic_v3_persistent,0.6953125,0.16055216533414873,-0.04123939070364153,0.2655414432932132,-0.06820691147445092,0.06820691147445092
0.0,fluxv_periodic_v3_persistent,0.703125,0.12679863233882935,-0.03355094997999573,0.2097155885053437,-0.05549079741780055,0.05549079741780055
0.0,fluxv_periodic_v3_persistent,0.7109375,0.093661051468711,-0.026345683348181333,0.1549084731158809,-0.04357381768263236,0.04357381768263236
0.0,fluxv_periodic_v3_persistent,0.71875,0.06141845789687784,-0.019900301150717198,0.10158160072669856,-0.03291363077248437,0.03291363077248437
0.0,fluxv_periodic_v3_persistent,0.7265625,0.030104777414915317,-0.014336729589425994,0.049791082095591264,-0.023711893635052477,0.023711893635052477
0.0,fluxv_periodic_v3_persistent,0.734375,-0.0004126247809892494,-0.00960396185719039,-0.0006824509632392137,-0.01588424477230565,0.01588424477230565
0.0,fluxv_periodic_v3_persistent,0.7421875,-0.03015182947808314,-0.005745430169448187,-0.04986890273872929,-0.009502517866142682,0.009502517866142682
0.0,fluxv_periodic_v3_persistent,0.75,-0.059141279453381594,-0.002795726883112859,-0.09781531548685961,-0.004623926124262142,0.004623926124262142
0.0,fluxv_periodic_v3_persistent,0.7578125,-0.0871917877075386,-0.0011331548788754697,-0.14420878786024507,-0.0018741546175044853,0.0018741546175044853
0.0,fluxv_periodic_v3_persistent,0.765625,-0.11464859401448312,-0.00038005216830182265,-0.18962032098901999,-0.000628578263566502,0.000628578263566502
0.0,fluxv_periodic_v3_persistent,0.7734375,-0.14155792748145632,-0.0005075568139862319,-0.23412637440789968,-0.000839461546088176,0.000839461546088176
0.0,fluxv_periodic_v3_persistent,0.78125,-0.1679621273799507,-0.0014815178267140947,-0.27779697415008464,-0.00245032124700102,0.00245032124700102
0.0,fluxv_periodic_v3_persistent,0.7890625,-0.193829764505755,-0.003378558702080023,-0.32058013862921353,-0.005587886978254008,0.005587886978254008
0.0,fluxv_periodic_v3_persistent,0.796875,-0.21917744399693523,-0.006134665099074697,-0.3625033315192826,-0.010146283739857572,0.010146283739857572
0.0,fluxv_periodic_v3_persistent,0.8046875,-0.2441069959582879,-0.009510854977596794,-0.4037349723052741,-0.015730252858609847,0.015730252858609847
0.0,fluxv_periodic_v3_persistent,0.8125,-0.268612754780822,-0.013444066967993072,-0.4442656904876656,-0.022235495478877723,0.022235495478877723
