model,phase,CL_alpha,CD_alpha,CL,CD,CT
fluxv_periodic_v3_persistent,0.71875,-3.941517853463885,-2.6981929937360096,-1.02013988708806,-0.6983437341410658,0.6983437341410658
fluxv_periodic_v3_persistent,0.7265625,-4.1345627948802495,-2.841122842569114,-1.0701035944873154,-0.7353367011326974,0.7353367011326974
fluxv_periodic_v3_persistent,0.734375,-4.325042949832319,-2.9782009767871633,-1.1194034863029905,-0.7708151329354481,0.7708151329354481
fluxv_periodic_v3_persistent,0.7421875,-4.511587723872439,-3.107652501289768,-1.1676848265889197,-0.8043196528942779,0.8043196528942779
fluxv_periodic_v3_persistent,0.75,-4.6927184419618015,-3.2276580473604937,-1.2145649060835424,-0.8353793737353097,0.8353793737353097
fluxv_periodic_v3_persistent,0.7578125,-4.86685746794199,-3.3363871939074468,-1.2596354025028178,-0.8635205476194041,0.8635205476194041
fluxv_periodic_v3_persistent,0.765625,-5.0323396830186855,-3.4320356835400583,-1.302465351390418,-0.888276198371615,0.888276198371615
fluxv_periodic_v3_persistent,0.7734375,-5.1874268484576485,-3.512865718353782,-1.3426048634569872,-0.9091965507977064,0.9091965507977064
fluxv_periodic_v3_persistent,0.78125,-5.330325313175502,-3.577248451128104,-1.3795897076418782,-0.9258600282154472,0.9258600282154472
fluxv_periodic_v3_persistent,0.7890625,-5.459207426854349,-3.623707627236047,-1.412946853235032,-0.9378845478119548,0.9378845478119548
fluxv_periodic_v3_persistent,0.796875,-5.572236884224044,-3.65096318898436,-1.4422010294599126,-0.944938806277386,0.944938806277386
fluxv_periodic_v3_persistent,0.8046875,-5.667598057856355,-3.6579735352730145,-1.4668823173592829,-0.9467532174096536,0.9467532174096536
fluxv_periodic_v3_persistent,0.8125,-5.743529179678113,-3.643975043740634,-1.4865347378027534,-0.9431301411983671,0.9431301411983671
fluxv_periodic_v3_persistent,0.8203125,-5.798359010899863,-3.608517417235396,-1.5007257423626992,-0.9339530321646796,0.9339530321646796
fluxv_periodic_v3_persistent,0.828125,-5.8305464038830666,-3.5514934180529805,-1.5090564526789516,-0.9191941351483599,0.9191941351483599
fluxv_periodic_v3_persistent,0.8359375,-5.8387219168576685,-3.4731616069844584,-1.5111724311402612,-0.8989203706064539,0.8989203706064539
fluxv_periodic_v3_persistent,0.84375,-5.821730404317726,-3.3741608133912684,-1.5067747040898258,-0.8732970797442727,0.8732970797442727
fluxv_periodic_v3_persistent,0.8515625,-5.778673283278023,-3.2555152284272992,-1.495630701137466,-0.8425893427382682,0.8425893427382682
fluxv_periodic_v3_persistent,0.859375,-5.70894898111346,-3.1186292360040424,-1.4775847238307944,-0.8071606408913701,0.8071606408913701
fluxv_periodic_v3_persistent,0.8671875,-5.612289915556153,-2.9652713722940756,-1.4525675167827503,-0.7674687050469939,0.7674687050469939
fluxv_periodic_v3_persistent,0.875,-5.488794253371333,-2.797547130472329,-1.4206044874217718,-0.7240584769381452,0.7240584769381452
fluxv_periodic_v3_persistent,0.8828125,-5.338950650919297,-2.617860696999507,-1.381822109320414,-0.6775522058088317,0.6775522058088317
fluxv_periodic_v3_persistent,0.890625,-5.163654207490388,-2.428866112607014,-1.3364520512222757,-0.628636807946819,0.628636807946819
fluxv_periodic_v3_persistent,0.8984375,-4.964211968094721,-2.2334087869273938,-1.284832601268781,-0.5780487295561273,0.5780487295561273
fluxv_periodic_v3_persistent,0.90625,-4.742336506110223,-2.034458752209966,-1.2274070060662725,-0.5265566715474493,0.5265566715474493
fluxv_periodic_v3_persistent,0.9140625,-4.5001264050957,-1.8350375075725749,-1.1647184190075084,-0.4749426554372435,0.4749426554372435
fluxv_periodic_v3_persistent,0.921875,-4.240032853234815,-1.638140766941302,-1.097401254277551,-0.42398202904325877,0.42398202904325877
fluxv_periodic_v3_persistent,0.9296875,-3.964812072410996,-1.4466598609247538,-1.0261688745923603,-0.37442312379269027,0.37442312379269027
fluxv_periodic_v3_persistent,0.9375,-3.677463933649823,-1.2633049258767592,-0.9517977037062069,-0.3269673745887336,0.3269673745887336
fluxv_periodic_v3_persistent,0.9453125,-3.381157861835339,-1.0905333007346012,-0.8751080491411032,-0.28225078754862953,0.28225078754862953
fluxv_periodic_v3_persistent,0.953125,-3.079147990610858,-0.9304866889667982,-0.7969421426592478,-0.24082767631899293,0.24082767631899293
fluxv_periodic_v3_persistent,0.9609375,-2.7746804537831546,-0.7849405638932815,-0.718140145512785,-0.20315756720909328,0.20315756720909328
fluxv_periodic_v3_persistent,0.96875,-2.470896621877892,-0.6552689352017202,-0.6395151042214803,-0.16959608009425478,0.16959608009425478
fluxv_periodic_v3_persistent,0.9765625,-2.1707369036546798,-0.5424269027858264,-0.5618280525727067,-0.14039041301694544,0.14039041301694544
fluxv_periodic_v3_persistent,0.984375,-1.8768502959647202,-0.4469523893997841,-0.4857646014019723,-0.11567979063074213,0.11567979063074213
fluxv_periodic_v3_persistent,0.9921875,-1.5915150369182343,-0.36898711364754183,-0.41191440212148045,-0.09550089240939208,0.09550089240939208
